n_samples,macro_f1,balanced_acc,accuracy,within_1_acc,mae_levels,task_id,model,preprocess,method
650,0.7680433805272361,0.7670080983635836,0.76,0.9953846153846154,0.24461538461538462,G1_thiram_molar_grade,RF,p4,global_baseline
650,0.7809343788117372,0.7788619315518049,0.7723076923076924,0.9984615384615385,0.22923076923076924,G1_thiram_molar_grade,RF,p4,oracle_context
650,0.7852674063975211,0.7834385395039404,0.7769230769230769,0.9969230769230769,0.22615384615384615,G1_thiram_molar_grade,RF,p4,realistic_context
650,0.7805791764450812,0.778423107405175,0.7723076923076924,0.9953846153846154,0.2323076923076923,G1_thiram_molar_grade,RF,p4,context_as_feature
648,0.583699330837566,0.5770733608664643,0.5787037037037037,0.9583333333333334,0.46296296296296297,G2_mg_molar_grade,RF,p4,global_baseline
648,0.5304071720601209,0.5213572506675955,0.5216049382716049,0.9305555555555556,0.5478395061728395,G2_mg_molar_grade,RF,p4,oracle_context
648,0.5691163688421914,0.5627430296395813,0.5648148148148148,0.9629629629629629,0.4722222222222222,G2_mg_molar_grade,RF,p4,realistic_context
648,0.575945698977053,0.5682440165198787,0.5694444444444444,0.9567901234567902,0.4737654320987654,G2_mg_molar_grade,RF,p4,context_as_feature
681,0.7343279422594869,0.7317592236330213,0.7312775330396476,1.0,0.2687224669603524,G3_mba_molar_grade,RF,p4,global_baseline
681,0.6939429040759361,0.6890299687914155,0.6886930983847284,0.9985315712187959,0.31277533039647576,G3_mba_molar_grade,RF,p4,oracle_context
681,0.7080773169482848,0.7054223134253915,0.7048458149779736,0.9985315712187959,0.2966226138032305,G3_mba_molar_grade,RF,p4,realistic_context
681,0.7511281064002192,0.7494272725977228,0.748898678414097,1.0,0.2511013215859031,G3_mba_molar_grade,RF,p4,context_as_feature
