Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0,0.7592144202313693,0.7321088694328131,0.8603351955307262
P1_thiram_presence,Thiram Presence,1D-CNN,p1,1,0.44258064516129036,0.5102040816326531,0.7333333333333333
P1_thiram_presence,Thiram Presence,1D-CNN,p1,2,0.6049107142857143,0.6052631578947368,0.6836158192090396
P1_thiram_presence,Thiram Presence,1D-CNN,p1,3,0.4673085535154501,0.5272727272727272,0.7158469945355191
P1_thiram_presence,Thiram Presence,1D-CNN,p1,4,0.6710426179604262,0.6512214342001577,0.7912087912087912
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.8579424418361806,0.9131138180433955,0.8938547486033519
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.9857954545454546,0.9795918367346939,0.9888888888888889
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.7343275955673363,0.793859649122807,0.7344632768361582
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.9099988650550448,0.8870028409090909,0.9289617486338798
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,0,0.7716178952134009,0.8208983631518842,0.8268156424581006
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,1,0.9247994652406417,0.8979591836734694,0.9444444444444444
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,2,0.6892655367231638,0.7516708437761069,0.6892655367231638
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,3,0.902452025586354,0.8779119318181818,0.9234972677595629
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,4,0.7764676983542127,0.7340425531914894,0.8626373626373627
P1_thiram_presence,Thiram Presence,PLS-DA,p1,0,0.8495497298379027,0.926056338028169,0.88268156424581
P1_thiram_presence,Thiram Presence,PLS-DA,p1,1,0.8063157894736842,0.7653061224489797,0.8722222222222222
P1_thiram_presence,Thiram Presence,PLS-DA,p1,2,0.8722776174232485,0.9035087719298245,0.8757062146892656
P1_thiram_presence,Thiram Presence,PLS-DA,p1,3,0.9597034644744569,0.9454545454545454,0.9672131147540983
P1_thiram_presence,Thiram Presence,PLS-DA,p1,4,0.8435223313272093,0.8048069345941686,0.8956043956043956
P1_thiram_presence,Thiram Presence,SVM,p1,0,0.8643939393939394,0.9166349448039589,0.8994413407821229
P1_thiram_presence,Thiram Presence,SVM,p1,1,0.9929442201403316,0.9897959183673469,0.9944444444444445
P1_thiram_presence,Thiram Presence,SVM,p1,2,0.7841463414634147,0.8333333333333333,0.7853107344632768
P1_thiram_presence,Thiram Presence,SVM,p1,3,0.9934673187448685,0.990909090909091,0.994535519125683
P1_thiram_presence,Thiram Presence,SVM,p1,4,0.9550395256916996,0.9361702127659575,0.967032967032967
P1_thiram_presence,Thiram Presence,RF,p1,0,0.7661440836132885,0.7715074229158736,0.8435754189944135
P1_thiram_presence,Thiram Presence,RF,p1,1,0.8645957785742732,0.8265306122448979,0.9055555555555556
P1_thiram_presence,Thiram Presence,RF,p1,2,0.8446005267778753,0.881578947368421,0.847457627118644
P1_thiram_presence,Thiram Presence,RF,p1,3,0.9247898374743135,0.9051846590909092,0.9398907103825137
P1_thiram_presence,Thiram Presence,RF,p1,4,0.8878521126760563,0.851063829787234,0.9230769230769231
P1_thiram_presence,Thiram Presence,KNN,p1,0,0.7600868882007672,0.7679862961553103,0.8379888268156425
P1_thiram_presence,Thiram Presence,KNN,p1,1,0.8165307635285397,0.7755102040816326,0.8777777777777778
P1_thiram_presence,Thiram Presence,KNN,p1,2,0.711864406779661,0.7763157894736843,0.711864406779661
P1_thiram_presence,Thiram Presence,KNN,p1,3,0.9392004134519547,0.9233664772727272,0.9508196721311475
P1_thiram_presence,Thiram Presence,KNN,p1,4,0.8531468531468531,0.8154452324665091,0.9010989010989011
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,0,0.8910750507099392,0.8678149980966883,0.9329608938547486
