Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0,0.4033333333333333,0.4033117624666921,0.4972067039106145
P1_thiram_presence,Thiram Presence,1D-CNN,raw,1,0.6652431464389035,0.698083813678143,0.7
P1_thiram_presence,Thiram Presence,1D-CNN,raw,2,0.46557971014492755,0.6052631578947368,0.4915254237288136
P1_thiram_presence,Thiram Presence,1D-CNN,raw,3,0.4096774193548387,0.49609375,0.6939890710382514
P1_thiram_presence,Thiram Presence,1D-CNN,raw,4,0.7065273477812177,0.787076438140268,0.7252747252747253
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0,0.7427876644191445,0.8426912828321279,0.7821229050279329
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,1,0.6547368421052632,0.6391182427169341,0.7722222222222223
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,2,0.4180756843800322,0.5559732664995822,0.4463276836158192
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,3,0.5180327868852459,0.5545454545454546,0.73224043715847
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,4,0.8607142857142858,0.8362490149724192,0.9010989010989011
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,0,0.8881518865657294,0.8842786448420251,0.9273743016759777
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,1,0.4260327469456487,0.42397569714908867,0.5055555555555555
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,2,0.5689935064935066,0.5685045948203843,0.6271186440677966
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,3,0.4617647058823529,0.5194602272727272,0.7049180327868853
P1_thiram_presence,Thiram Presence,Chem-KAN,raw,4,0.8323412698412699,0.8759653270291567,0.8571428571428571
P1_thiram_presence,Thiram Presence,PLS-DA,raw,0,0.7838277763192439,0.75913589645984,0.8715083798882681
P1_thiram_presence,Thiram Presence,PLS-DA,raw,1,0.8199295376451655,0.7908552734070727,0.8722222222222222
P1_thiram_presence,Thiram Presence,PLS-DA,raw,2,0.6889922480620154,0.6911027568922306,0.711864406779661
P1_thiram_presence,Thiram Presence,PLS-DA,raw,3,0.6243017426593459,0.6194602272727272,0.7650273224043715
P1_thiram_presence,Thiram Presence,PLS-DA,raw,4,0.8787475016655563,0.8404255319148937,0.9175824175824175
P1_thiram_presence,Thiram Presence,SVM,raw,0,0.5081121776773951,0.5331176246669205,0.5921787709497207
P1_thiram_presence,Thiram Presence,SVM,raw,1,0.6999864858777423,0.6799345692475464,0.7944444444444444
P1_thiram_presence,Thiram Presence,SVM,raw,2,0.665984327522789,0.7412280701754386,0.6666666666666666
P1_thiram_presence,Thiram Presence,SVM,raw,3,0.6196145124716553,0.6155539772727272,0.7595628415300546
P1_thiram_presence,Thiram Presence,SVM,raw,4,0.8878521126760563,0.851063829787234,0.9230769230769231
P1_thiram_presence,Thiram Presence,RF,raw,0,0.5688963103304325,0.7359154929577465,0.5810055865921788
P1_thiram_presence,Thiram Presence,RF,raw,1,0.8265338901381305,0.7857142857142857,0.8833333333333333
P1_thiram_presence,Thiram Presence,RF,raw,2,0.8383561643835616,0.849624060150376,0.847457627118644
P1_thiram_presence,Thiram Presence,RF,raw,3,0.6884576098059244,0.6790482954545455,0.7540983606557377
P1_thiram_presence,Thiram Presence,RF,raw,4,0.7268790464348497,0.7108747044917257,0.8076923076923077
P1_thiram_presence,Thiram Presence,KNN,raw,0,0.5513784461152882,0.6559763989341454,0.5810055865921788
P1_thiram_presence,Thiram Presence,KNN,raw,1,0.7886129354964986,0.762813522355507,0.85
P1_thiram_presence,Thiram Presence,KNN,raw,2,0.5241935483870968,0.5889724310776943,0.5254237288135594
P1_thiram_presence,Thiram Presence,KNN,raw,3,0.788764909580608,0.7933238636363636,0.819672131147541
P1_thiram_presence,Thiram Presence,KNN,raw,4,0.7902566788894709,0.8361702127659575,0.8186813186813187
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,0,0.5441813088871912,0.7183098591549295,0.553072625698324
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,1,0.8736620459729778,0.8367346938775511,0.9111111111111111
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,2,0.7955782874113182,0.8180868838763575,0.8022598870056498
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,3,0.7361265603757261,0.7129261363636363,0.8087431693989071
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,4,0.8625805018876305,0.8260835303388494,0.9065934065934066
P2_mg_presence,MG Presence,1D-CNN,raw,0,0.745442792501616,0.7288486005089059,0.8156424581005587
P2_mg_presence,MG Presence,1D-CNN,raw,1,0.6040769540568172,0.6631881215856563,0.6055555555555555
P2_mg_presence,MG Presence,1D-CNN,raw,2,0.35533664018869887,0.3543233082706767,0.4067796610169492
P2_mg_presence,MG Presence,1D-CNN,raw,3,0.6835338345864661,0.7973259762308998,0.7486338797814208
P2_mg_presence,MG Presence,1D-CNN,raw,4,0.6865766337351582,0.7153280040603984,0.6868131868131868
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0,0.5166516651665166,0.5444497455470738,0.7486033519553073
P2_mg_presence,MG Presence,Spectrum-KAN,raw,1,0.7428571428571429,0.7704160246533128,0.7555555555555555
P2_mg_presence,MG Presence,Spectrum-KAN,raw,2,0.4371422514309943,0.4366883116883117,0.576271186440678
P2_mg_presence,MG Presence,Spectrum-KAN,raw,3,0.5031674208144796,0.6881366723259762,0.5245901639344263
P2_mg_presence,MG Presence,Spectrum-KAN,raw,4,0.877102157625647,0.8724146681893161,0.8846153846153846
P2_mg_presence,MG Presence,Chem-KAN,raw,0,0.5166516651665166,0.5444497455470738,0.7486033519553073
P2_mg_presence,MG Presence,Chem-KAN,raw,1,0.7226502311248074,0.7226502311248074,0.7555555555555555
P2_mg_presence,MG Presence,Chem-KAN,raw,2,0.3099415204678363,0.2975905673274094,0.3672316384180791
P2_mg_presence,MG Presence,Chem-KAN,raw,3,0.5365235937083445,0.660123089983022,0.5846994535519126
P2_mg_presence,MG Presence,Chem-KAN,raw,4,0.8975225225225225,0.9036924248191853,0.9010989010989011
P2_mg_presence,MG Presence,PLS-DA,raw,0,0.42258064516129035,0.5,0.7318435754189944
P2_mg_presence,MG Presence,PLS-DA,raw,1,0.8221614227086184,0.8013727412802913,0.8555555555555555
P2_mg_presence,MG Presence,PLS-DA,raw,2,0.41941832495079817,0.4214798359535202,0.576271186440678
P2_mg_presence,MG Presence,PLS-DA,raw,3,0.41533546325878595,0.4276315789473684,0.7103825136612022
P2_mg_presence,MG Presence,PLS-DA,raw,4,0.6557919621749408,0.6619718309859155,0.7362637362637363
P2_mg_presence,MG Presence,SVM,raw,0,0.42258064516129035,0.5,0.7318435754189944
P2_mg_presence,MG Presence,SVM,raw,1,0.5123166516147115,0.623126488303684,0.5166666666666667
P2_mg_presence,MG Presence,SVM,raw,2,0.4137308039747064,0.4106288448393712,0.5028248587570622
P2_mg_presence,MG Presence,SVM,raw,3,0.4019607843137255,0.40460526315789475,0.6721311475409836
P2_mg_presence,MG Presence,SVM,raw,4,0.4255623110402339,0.5720720720720721,0.47802197802197804
P2_mg_presence,MG Presence,RF,raw,0,0.6629001883239172,0.6420165394402035,0.8044692737430168
P2_mg_presence,MG Presence,RF,raw,1,0.8181573275862069,0.8326096091889621,0.8333333333333334
P2_mg_presence,MG Presence,RF,raw,2,0.46368994106482875,0.5134142173615858,0.4858757062146893
P2_mg_presence,MG Presence,RF,raw,3,0.6062025316455696,0.5928480475382003,0.8142076502732241
P2_mg_presence,MG Presence,RF,raw,4,0.8723214285714286,0.8704479127014338,0.8791208791208791
P2_mg_presence,MG Presence,KNN,raw,0,0.618762677484787,0.6086991094147582,0.7653631284916201
P2_mg_presence,MG Presence,KNN,raw,1,0.641107093372985,0.647639725451744,0.6722222222222223
P2_mg_presence,MG Presence,KNN,raw,2,0.4491885561318387,0.49068694463431306,0.4745762711864407
P2_mg_presence,MG Presence,KNN,raw,3,0.45946108867321717,0.4664685908319185,0.73224043715847
P2_mg_presence,MG Presence,KNN,raw,4,0.6247884550293855,0.6322167237660196,0.6318681318681318
P2_mg_presence,MG Presence,HistGradientBoosting,raw,0,0.6786685131045802,0.6552162849872774,0.8044692737430168
P2_mg_presence,MG Presence,HistGradientBoosting,raw,1,0.8222978723404255,0.832399495727693,0.8388888888888889
P2_mg_presence,MG Presence,HistGradientBoosting,raw,2,0.7383286647992531,0.7658920027341081,0.7853107344632768
P2_mg_presence,MG Presence,HistGradientBoosting,raw,3,0.7767530376226028,0.8022071307300509,0.8633879781420765
P2_mg_presence,MG Presence,HistGradientBoosting,raw,4,0.9136157959687372,0.9146681893160766,0.9175824175824175
P3_mba_presence,MBA Presence,1D-CNN,raw,0,0.4372210953346856,0.5230769230769231,0.6536312849162011
P3_mba_presence,MBA Presence,1D-CNN,raw,1,0.6315312594382362,0.7203895420249167,0.6611111111111111
P3_mba_presence,MBA Presence,1D-CNN,raw,2,0.6051735608343443,0.7217162032598274,0.6779661016949152
P3_mba_presence,MBA Presence,1D-CNN,raw,3,0.42740926157697123,0.4322638146167558,0.5628415300546448
P3_mba_presence,MBA Presence,1D-CNN,raw,4,0.5671321160042965,0.6040816326530611,0.6593406593406593
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,0,0.5065105823472028,0.5363697705802969,0.6368715083798883
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,1,0.853990914990266,0.8850675557115284,0.8888888888888888
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,2,0.6513707745541656,0.6728187919463087,0.7909604519774012
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,3,0.41904761904761906,0.5,0.7213114754098361
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,4,0.7523809523809524,0.7523809523809524,0.8461538461538461
P3_mba_presence,MBA Presence,Chem-KAN,raw,0,0.48317173023055376,0.5209851551956816,0.6256983240223464
P3_mba_presence,MBA Presence,Chem-KAN,raw,1,0.8512620192307692,0.920863309352518,0.8777777777777778
P3_mba_presence,MBA Presence,Chem-KAN,raw,2,0.4671613313546745,0.4862176414189837,0.5988700564971752
