Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.5054140542384937,0.13294833913952392,0.6106502362033995,0.11020758454950381,0.5498658916001402,0.1559533419338542
G1_thiram_molar_grade,Thiram Positive Molar Grade,Chem-KAN,p1,0.6628569176848436,0.27779123985584014,0.711486129163301,0.2824857946560755,0.6677108916687782,0.2649413813418549
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,p1,0.6630772587444606,0.1294225603273856,0.7396609431094596,0.11616155097594769,0.6816276009328892,0.10177322881061458
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p1,0.6106735584447809,0.1878864033802107,0.7058866974430872,0.17286974935810354,0.6210765546547742,0.1854287693623307
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p1,0.7512704115754747,0.08773585077544777,0.7934892808851229,0.10296118296003907,0.7805763041917562,0.06428693737167646
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p1,0.652780555066475,0.13958235025089494,0.729479736862791,0.12815415423272103,0.6721835242385221,0.12796448854444462
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p1,0.639221277961252,0.21995015895032433,0.7267406472010053,0.18076591517309748,0.6634543105339026,0.21882205788335446
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.656604229921695,0.1258414625170561,0.7347863265687703,0.11828004929753036,0.6582886075230754,0.12668628639567864
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0.30111148532602755,0.12681090859032737,0.3873848414138795,0.14277248203008935,0.44398525716050097,0.15308525673709805
G2_mg_molar_grade,MG Positive Molar Grade,Chem-KAN,p1,0.3334354161806898,0.0478881863048824,0.38745933800017285,0.07185335238821935,0.4454739158134096,0.13762180919122743
G2_mg_molar_grade,MG Positive Molar Grade,HistGradientBoosting,p1,0.37985453197735725,0.10328013712191371,0.40614778447895483,0.1419191813105377,0.41856085834865187,0.13289908151019955
G2_mg_molar_grade,MG Positive Molar Grade,KNN,p1,0.37815730236131123,0.03481069617895269,0.41072100508002024,0.06823175360265667,0.42277692074981965,0.1137872463895679
G2_mg_molar_grade,MG Positive Molar Grade,PLS-DA,p1,0.40544654434330046,0.14951169781226079,0.4220718586074394,0.17502587269367822,0.42088228303667136,0.1486656374465185
G2_mg_molar_grade,MG Positive Molar Grade,RF,p1,0.4389718953085947,0.08311535239354804,0.45866605122649345,0.11168064882197679,0.4870933924898642,0.1299158205977005
G2_mg_molar_grade,MG Positive Molar Grade,SVM,p1,0.3906837202487101,0.06281661762662501,0.396278082669716,0.11281959373698074,0.4189973473292805,0.02023184892079444
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.4017997995281288,0.07475811172791437,0.4833028292314438,0.09575662235330747,0.4634586831964384,0.16097899232738774
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0.5135854670338768,0.05881102747888589,0.5436147011696689,0.06779037701388735,0.5417063454568314,0.05187059483653816
G3_mba_molar_grade,MBA Positive Molar Grade,Chem-KAN,p1,0.6938768633585367,0.16485125365872155,0.7127472708110346,0.1538479757956703,0.6920448332426385,0.17332153502216108
G3_mba_molar_grade,MBA Positive Molar Grade,HistGradientBoosting,p1,0.537873940341601,0.10776715320398633,0.5593278423016778,0.10837510020156585,0.5415064524192179,0.12853642904969687
G3_mba_molar_grade,MBA Positive Molar Grade,KNN,p1,0.43527082584770016,0.04972663404223101,0.473003244849722,0.06761200371342625,0.46322327558708787,0.041390801216846386
G3_mba_molar_grade,MBA Positive Molar Grade,PLS-DA,p1,0.5225775433969513,0.16210560609357605,0.5584906146340415,0.17775007368951648,0.5337479834502956,0.17169462977411515
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p1,0.5652071867401112,0.17858832760127238,0.5893300854518853,0.16867727521447745,0.5692961217866076,0.19740462035955686
G3_mba_molar_grade,MBA Positive Molar Grade,SVM,p1,0.7255069129430465,0.19291633867077682,0.7457699330115649,0.19281122195269232,0.7272211296915941,0.20422459334235113
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.6866062907514248,0.20655372836175453,0.7183101989903222,0.17718968511985295,0.7070053786063186,0.20704758241867355
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0.58901139023085,0.1343544991950237,0.6052140540866175,0.09126982098296994,0.7568680267634819,0.06979834508585317
P1_thiram_presence,Thiram Presence,Chem-KAN,p1,0.8129205242235547,0.09856223768527499,0.8164965751222264,0.0731922460801625,0.8493320508045269,0.10105958109928692
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,0.8556257108189278,0.11582059431991812,0.8378356226735306,0.09790720453896182,0.8802415543097389,0.12295693636484505
P1_thiram_presence,Thiram Presence,KNN,p1,0.8161658650215552,0.08736256717520416,0.8117247998899728,0.06510771349187619,0.8559099169206259,0.09027511247012523
P1_thiram_presence,Thiram Presence,PLS-DA,p1,0.8662737865073004,0.05735293127489192,0.8690265424911374,0.07931699839125697,0.8986855023031584,0.03933829486627155
P1_thiram_presence,Thiram Presence,RF,p1,0.8575964678231613,0.05918567475085144,0.8471730942814671,0.05175820729336812,0.8919112470256099,0.04407939432803783
P1_thiram_presence,Thiram Presence,SVM,p1,0.9179982690868508,0.09147990273387548,0.9333687000359376,0.06478786379315297,0.9281530011696988,0.08879909696499505
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.8976128714008033,0.10799135289168735,0.9147136289619974,0.08194369795946609,0.9092337325924558,0.1069507821318278
P2_mg_presence,MG Presence,1D-CNN,p1,0.5075488359936875,0.08898795845295779,0.5426331644521605,0.11541843062674312,0.6384179882346815,0.05029105083079617
P2_mg_presence,MG Presence,Chem-KAN,p1,0.6593855812054529,0.12032389342707159,0.6753120363203531,0.12634421962123826,0.7324877356917759,0.07449871432838515
P2_mg_presence,MG Presence,HistGradientBoosting,p1,0.7041404452444782,0.09747892677433409,0.705094270050483,0.10317928992294616,0.7733816913090019,0.1072904821703415
P2_mg_presence,MG Presence,KNN,p1,0.5788589510537715,0.1377052599917522,0.583532358284293,0.13550079190888473,0.7059746596034143,0.09895103360107077
P2_mg_presence,MG Presence,PLS-DA,p1,0.5823761835135308,0.10792646800585513,0.5890650657563146,0.10757089058631124,0.67294035321633,0.12295562410675837
P2_mg_presence,MG Presence,RF,p1,0.5860085015403966,0.14912491446685083,0.5891664426896182,0.15141592429009523,0.7062047883714981,0.11640622279299202
P2_mg_presence,MG Presence,SVM,p1,0.6674972627711985,0.17282286464191365,0.6690622637471071,0.1664615589927424,0.7562488397573407,0.10255627393029969
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.6596804006940739,0.1616758542037253,0.6777004794878722,0.17474720880267436,0.7292243861725918,0.09421762974131037
P3_mba_presence,MBA Presence,1D-CNN,p1,0.7367482833950169,0.12876892920181288,0.7314712696414067,0.12154794546069396,0.8194890649836701,0.10846418157872816
P3_mba_presence,MBA Presence,Chem-KAN,p1,0.8421463515225935,0.07635741054731211,0.8533237986929905,0.07357943337646165,0.8827365994703291,0.0662796878480126
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,0.7935583803034516,0.140360482162711,0.8000872729414752,0.1470487283382115,0.8473397490743091,0.1316441852871551
P3_mba_presence,MBA Presence,KNN,p1,0.8140900121634548,0.11157688142419803,0.8077040128561361,0.14521536161871432,0.8803747117139415,0.07816509001942762
P3_mba_presence,MBA Presence,PLS-DA,p1,0.8733680754452516,0.06548891347263308,0.882438413950266,0.0651315577755725,0.9038578442390177,0.054799179725930874
P3_mba_presence,MBA Presence,RF,p1,0.909145329633507,0.07362582725192472,0.9062433494101987,0.08351172767401807,0.9409671007965382,0.04400230834944036
