Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0.5313118673840009,0.07009687818419795,0.6184789307699432,0.1319183857082157,0.5696307000672547,0.09878988876866938
G1_thiram_molar_grade,Thiram Positive Molar Grade,Chem-KAN,raw,0.6179869988236449,0.233334297266189,0.6775436596544591,0.23262505863949837,0.6333103582864237,0.24925034256074405
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,raw,0.6461084947224224,0.1937946158001902,0.7406070544268712,0.15896088541893913,0.6830697933452836,0.19221782328386522
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,raw,0.6880109657221049,0.16629521006027737,0.7467627001685967,0.1619184592772686,0.6943236884833696,0.1712028725645746
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,raw,0.7034845584254418,0.1014486396470224,0.7495915821267111,0.09834909145878046,0.7214863747515673,0.09828363415791477
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,raw,0.6901637000284448,0.16584962885136842,0.7561859628922069,0.1416573548318549,0.694561824243678,0.16615323805326482
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,raw,0.6514212310390944,0.13775860051594915,0.6911719951910004,0.1684361076667126,0.6990445759332717,0.1370844158026881
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0.49159035512524946,0.16696955336063465,0.5748750014177257,0.1959116624197849,0.5480464563772828,0.17597327940537763
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,0.4411774074068139,0.10755443932143316,0.4812501027909376,0.14337312562888785,0.538455583840733,0.16181819390194513
G2_mg_molar_grade,MG Positive Molar Grade,Chem-KAN,raw,0.3575425810291872,0.13273327358320836,0.39132498504579155,0.11163714203130483,0.5259326106718267,0.15794537057312233
G2_mg_molar_grade,MG Positive Molar Grade,HistGradientBoosting,raw,0.43648310183814837,0.1100541298816369,0.46252718984478597,0.14594139450406743,0.5164610873247055,0.14454509263550008
G2_mg_molar_grade,MG Positive Molar Grade,KNN,raw,0.35221486247518013,0.1259949758901125,0.3705728252382737,0.16090712648388814,0.40831861142044124,0.17699381934441438
