stage,task_id,model,preprocess,n_samples,exact_acc,within_1_acc,mae_levels,adjacent_error_rate
01_screening,G1_thiram_molar_grade,1D-CNN,p1,650,0.5553846153846154,0.9723076923076923,0.4723076923076923,0.9377162629757786
01_screening,G1_thiram_molar_grade,1D-CNN,p2,650,0.6153846153846154,0.9769230769230769,0.4076923076923077,0.94
01_screening,G1_thiram_molar_grade,1D-CNN,p3,650,0.6553846153846153,0.9861538461538462,0.35846153846153844,0.9598214285714286
01_screening,G1_thiram_molar_grade,1D-CNN,p4,650,0.5492307692307692,0.9138461538461539,0.536923076923077,0.8088737201365188
01_screening,G1_thiram_molar_grade,1D-CNN,raw,650,0.5692307692307692,0.936923076923077,0.4938461538461538,0.8535714285714285
01_screening,G1_thiram_molar_grade,Chem-KAN,p1,650,0.676923076923077,0.9569230769230769,0.36615384615384616,0.8666666666666667
01_screening,G1_thiram_molar_grade,Chem-KAN,p2,650,0.7476923076923077,0.9923076923076923,0.26,0.9695121951219512
01_screening,G1_thiram_molar_grade,Chem-KAN,p3,650,0.6846153846153846,0.9815384615384616,0.33384615384615385,0.9414634146341463
01_screening,G1_thiram_molar_grade,Chem-KAN,p4,650,0.6430769230769231,0.9523076923076923,0.4046153846153846,0.8663793103448276
01_screening,G1_thiram_molar_grade,Chem-KAN,raw,650,0.6338461538461538,0.9646153846153847,0.4015384615384615,0.9033613445378151
01_screening,G1_thiram_molar_grade,HistGradientBoosting,p1,650,0.6846153846153846,0.963076923076923,0.3523076923076923,0.8829268292682927
01_screening,G1_thiram_molar_grade,HistGradientBoosting,p2,650,0.7753846153846153,0.9892307692307692,0.2353846153846154,0.952054794520548
01_screening,G1_thiram_molar_grade,HistGradientBoosting,p3,650,0.6984615384615385,0.9353846153846154,0.36615384615384616,0.7857142857142857
01_screening,G1_thiram_molar_grade,HistGradientBoosting,p4,650,0.7292307692307692,0.98,0.2907692307692308,0.9261363636363636
01_screening,G1_thiram_molar_grade,HistGradientBoosting,raw,650,0.676923076923077,0.96,0.3630769230769231,0.8761904761904762
01_screening,G1_thiram_molar_grade,KNN,p1,650,0.6276923076923077,0.9553846153846154,0.4169230769230769,0.8801652892561983
01_screening,G1_thiram_molar_grade,KNN,p2,650,0.6446153846153846,0.9446153846153846,0.4107692307692308,0.8441558441558441
01_screening,G1_thiram_molar_grade,KNN,p3,650,0.6169230769230769,0.9415384615384615,0.44153846153846155,0.8473895582329317
01_screening,G1_thiram_molar_grade,KNN,p4,650,0.6523076923076923,0.936923076923077,0.4107692307692308,0.8185840707964602
01_screening,G1_thiram_molar_grade,KNN,raw,650,0.6938461538461539,0.943076923076923,0.3630769230769231,0.8140703517587939
01_screening,G1_thiram_molar_grade,PLS-DA,p1,650,0.7830769230769231,0.9769230769230769,0.24,0.8936170212765957
01_screening,G1_thiram_molar_grade,PLS-DA,p2,650,0.8615384615384616,0.9953846153846154,0.14307692307692307,0.9666666666666667
01_screening,G1_thiram_molar_grade,PLS-DA,p3,650,0.8153846153846154,0.9923076923076923,0.19230769230769232,0.9583333333333334
01_screening,G1_thiram_molar_grade,PLS-DA,p4,650,0.7169230769230769,0.9723076923076923,0.31076923076923074,0.9021739130434783
01_screening,G1_thiram_molar_grade,PLS-DA,raw,650,0.7230769230769231,0.9523076923076923,0.32461538461538464,0.8277777777777777
01_screening,G1_thiram_molar_grade,RF,p1,650,0.6784615384615384,0.9784615384615385,0.34307692307692306,0.9330143540669856
01_screening,G1_thiram_molar_grade,RF,p2,650,0.8138461538461539,1.0,0.18615384615384614,1.0
01_screening,G1_thiram_molar_grade,RF,p3,650,0.7415384615384616,0.9769230769230769,0.2815384615384615,0.9107142857142857
01_screening,G1_thiram_molar_grade,RF,p4,650,0.76,0.9953846153846154,0.24461538461538462,0.9807692307692307
01_screening,G1_thiram_molar_grade,RF,raw,650,0.6892307692307692,0.9384615384615385,0.3723076923076923,0.801980198019802
01_screening,G1_thiram_molar_grade,SVM,p1,650,0.6738461538461539,0.9446153846153846,0.38153846153846155,0.8301886792452831
01_screening,G1_thiram_molar_grade,SVM,p2,650,0.7307692307692307,0.9907692307692307,0.2784615384615385,0.9657142857142857
01_screening,G1_thiram_molar_grade,SVM,p3,650,0.64,0.963076923076923,0.39692307692307693,0.8974358974358975
01_screening,G1_thiram_molar_grade,SVM,p4,650,0.54,0.9769230769230769,0.48307692307692307,0.9498327759197325
01_screening,G1_thiram_molar_grade,SVM,raw,650,0.6938461538461539,0.9984615384615385,0.3076923076923077,0.9949748743718593
01_screening,G1_thiram_molar_grade,Spectrum-KAN,p1,650,0.6630769230769231,0.9661538461538461,0.3707692307692308,0.8995433789954338
01_screening,G1_thiram_molar_grade,Spectrum-KAN,p2,650,0.7261538461538461,0.9830769230769231,0.2907692307692308,0.9382022471910112
01_screening,G1_thiram_molar_grade,Spectrum-KAN,p3,650,0.6984615384615385,0.9353846153846154,0.36615384615384616,0.7857142857142857
01_screening,G1_thiram_molar_grade,Spectrum-KAN,p4,650,0.6476923076923077,0.9676923076923077,0.38461538461538464,0.9082969432314411
01_screening,G1_thiram_molar_grade,Spectrum-KAN,raw,650,0.5461538461538461,0.9661538461538461,0.4876923076923077,0.9254237288135593
01_screening,G2_mg_molar_grade,1D-CNN,p1,648,0.44135802469135804,0.9182098765432098,0.6404320987654321,0.8535911602209945
01_screening,G2_mg_molar_grade,1D-CNN,p2,648,0.44290123456790126,0.9243827160493827,0.6327160493827161,0.8642659279778393
