trial_id,trial_order,phase,model_family,preprocess,task_scope,params_json,mean_f1_all,mean_f1_g2,fold_stats,status,notes,duration_sec,relative_dir
rf_coarse_01,1,coarse,RF,p2,P1-P3+G1-G3,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 42}",0.6754856721116526,0.4051661236307298,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7853125655817518, ""f1_std"": 0.1437494757888517, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4051661236307298, ""f1_std"": 0.1052764236588436, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6328127525800685, ""f1_std"": 0.1556607746748805, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.7950262021838442, ""f1_std"": 0.0932346180429158, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6231048947350459, ""f1_std"": 0.0911314524805321, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.811491493958475, ""f1_std"": 0.1126969751321062, ""task_name"": ""MBA Presence""}}",completed,RF coarse anchor on p2 using optimization-profile defaults.,32.38,trials/rf_coarse_01
rf_coarse_02,2,coarse,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 42}",0.7397171789892205,0.4829104311335263,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.771569525009385, ""f1_std"": 0.1285425780735465, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4829104311335263, ""f1_std"": 0.1041982800764794, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7462205636405168, ""f1_std"": 0.1344748281538697, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8171811488862085, ""f1_std"": 0.0808301264272338, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.7673833043125995, ""f1_std"": 0.093802059894683, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8530381009530871, ""f1_std"": 0.1171270871097259, ""task_name"": ""MBA Presence""}}",completed,RF coarse anchor on p4 using optimization-profile defaults.,31.93,trials/rf_coarse_02
rf_coarse_03,3,coarse,RF,p2,P1-P3+G1-G3,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 600, ""n_jobs"": -1, ""random_state"": 42}",0.6817586520366031,0.4127218599951547,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.804350511627753, ""f1_std"": 0.1119177690944183, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4127218599951547, ""f1_std"": 0.1222429296533371, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6505711389053177, ""f1_std"": 0.1728625268299033, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.7701396736069307, ""f1_std"": 0.0714442142133604, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6301024336922246, ""f1_std"": 0.0495554068833018, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8226662943922379, ""f1_std"": 0.0804267378091278, ""task_name"": ""MBA Presence""}}",completed,RF coarse high-capacity p2 trial.,248.38,trials/rf_coarse_03
rf_coarse_04,4,coarse,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""n_estimators"": 600, ""n_jobs"": -1, ""random_state"": 42}",0.7557332778411471,0.4774221854600706,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7844855646681661, ""f1_std"": 0.1235838558074176, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4774221854600706, ""f1_std"": 0.0987577156137438, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7819994521908473, ""f1_std"": 0.0743018347122928, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8128080903795883, ""f1_std"": 0.1411110132293137, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.7944587849984136, ""f1_std"": 0.0770047868997407, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8832255893497969, ""f1_std"": 0.0673059924333254, ""task_name"": ""MBA Presence""}}",completed,RF coarse high-capacity p4 trial.,238.22,trials/rf_coarse_04
rf_coarse_05,5,coarse,RF,p2,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",0.688031671545104,0.4188620819139702,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7946444872100159, ""f1_std"": 0.1490244244431875, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4188620819139702, ""f1_std"": 0.1264987641695294, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6270365049067785, ""f1_std"": 0.1601436476940352, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.804985719939347, ""f1_std"": 0.1296092712147607, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.6423610061995467, ""f1_std"": 0.1059040306824833, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.840300229100966, ""f1_std"": 0.1219524917963221, ""task_name"": ""MBA Presence""}}",completed,RF coarse conservative p2 trial.,33.96,trials/rf_coarse_05
rf_coarse_06,6,coarse,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",0.7502887092532003,0.4812954653385681,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7782528835403462, ""f1_std"": 0.1300905265800474, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4812954653385681, ""f1_std"": 0.1064245758204602, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7430878024285347, ""f1_std"": 0.1387594327479618, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8324254750171198, ""f1_std"": 0.0802310384356841, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.802752316640302, ""f1_std"": 0.0701505369910653, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8639183125543312, ""f1_std"": 0.1046443044927245, ""task_name"": ""MBA Presence""}}",completed,RF coarse conservative p4 trial.,34.03,trials/rf_coarse_06
rf_coarse_07,7,coarse,RF,p2,P1-P3+G1-G3,"{""class_weight"": ""balanced"", ""max_depth"": 28, ""max_features"": 0.25, ""min_samples_leaf"": 4, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42}",0.69996381439001,0.4321435973895221,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.8047981663678956, ""f1_std"": 0.1213230186815325, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4321435973895221, ""f1_std"": 0.1283088312542941, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6545165369266771, ""f1_std"": 0.1727419849509541, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8082687630606002, ""f1_std"": 0.1153919040210587, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.649045617314019, ""f1_std"": 0.0744567403168148, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8510102052813456, ""f1_std"": 0.0585107706947335, ""task_name"": ""MBA Presence""}}",completed,RF coarse deep p2 trial with lower feature fraction.,168.06,trials/rf_coarse_07
rf_coarse_08,8,coarse,RF,p4,P1-P3+G1-G3,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 28, ""max_features"": 0.25, ""min_samples_leaf"": 6, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42}",0.7675537092403149,0.4938579034426762,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.7915794412277645, ""f1_std"": 0.1161411640010923, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.4938579034426762, ""f1_std"": 0.1024874615741557, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.7959168296013951, ""f1_std"": 0.077288807227098, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.8520202980320077, ""f1_std"": 0.0972246403490024, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.80167476647435, ""f1_std"": 0.084862216613915, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8702730166636954, ""f1_std"": 0.0794806425847134, ""task_name"": ""MBA Presence""}}",completed,RF coarse deep p4 trial with stronger regularization.,162.03,trials/rf_coarse_08
skan_coarse_01,9,coarse,Spectrum-KAN,p4,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 64, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0003}",0.6023685071276706,0.3038166451478613,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.6163772557366298, ""f1_std"": 0.1241093876967545, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.3038166451478613, ""f1_std"": 0.1184534410761526, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6782942698154018, ""f1_std"": 0.0988055176876226, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6103725088420029, ""f1_std"": 0.1699128868406529, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.5884199260916199, ""f1_std"": 0.1990206166693328, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.8169304371325085, ""f1_std"": 0.0802999255792654, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN primary p4 anchor mirroring the strongest G2 screening config.,555.25,trials/skan_coarse_01
skan_coarse_02,10,coarse,Spectrum-KAN,p1,P1-P3+G1-G3,"{""aug_enabled"": false, ""batch_size"": 64, ""focal_gamma"": 1.5, ""label_smoothing"": 0.02, ""lr"": 0.0002, ""mixup_enabled"": false, ""optimizer"": ""adamw"", ""patience"": 30, ""scheduler"": ""step"", ""step_gamma"": 0.7, ""step_size"": 40, ""use_class_weight"": false, ""weight_decay"": 0.0003}",0.592615188263882,0.3460376559488174,"{""G1_thiram_molar_grade"": {""f1_mean"": 0.5720009539028723, ""f1_std"": 0.2955958136648368, ""task_name"": ""Thiram Positive Molar Grade""}, ""G2_mg_molar_grade"": {""f1_mean"": 0.3460376559488174, ""f1_std"": 0.0688633402712956, ""task_name"": ""MG Positive Molar Grade""}, ""G3_mba_molar_grade"": {""f1_mean"": 0.6022532733097254, ""f1_std"": 0.17487526530033, ""task_name"": ""MBA Positive Molar Grade""}, ""P1_thiram_presence"": {""f1_mean"": 0.6827074666810884, ""f1_std"": 0.2147115584859153, ""task_name"": ""Thiram Presence""}, ""P2_mg_presence"": {""f1_mean"": 0.561381495901698, ""f1_std"": 0.127618228733934, ""task_name"": ""MG Presence""}, ""P3_mba_presence"": {""f1_mean"": 0.7913102838390912, ""f1_std"": 0.0544411506310652, ""task_name"": ""MBA Presence""}}",archived,Spectrum-KAN secondary p1 anchor kept as the overall-mean reference branch.,455.97,trials/skan_coarse_02
