Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,RF,p2,0,0.6250389980835227,0.6346593071945185,0.7374301675977654
P1_thiram_presence,Thiram Presence,RF,p2,1,0.8825627419424993,0.846938775510204,0.9166666666666666
P1_thiram_presence,Thiram Presence,RF,p2,2,0.7097875188221516,0.7211779448621554,0.7231638418079096
P1_thiram_presence,Thiram Presence,RF,p2,3,0.8933773548261799,0.8636363636363636,0.9180327868852459
P1_thiram_presence,Thiram Presence,RF,p2,4,0.9141619860223813,0.8829787234042553,0.9395604395604396
P2_mg_presence,MG Presence,RF,p2,0,0.695578231292517,0.6666666666666666,0.8212290502793296
P2_mg_presence,MG Presence,RF,p2,1,0.6903551358996904,0.6794368959237989,0.75
P2_mg_presence,MG Presence,RF,p2,2,0.6520919411127603,0.6637047163362952,0.7231638418079096
P2_mg_presence,MG Presence,RF,p2,3,0.45750988142292487,0.4766553480475382,0.7704918032786885
P2_mg_presence,MG Presence,RF,p2,4,0.7162698412698412,0.7079050881867783,0.7582417582417582
P3_mba_presence,MBA Presence,RF,p2,0,0.6528765352294764,0.6538461538461539,0.7486033519553073
P3_mba_presence,MBA Presence,RF,p2,1,0.967266775777414,0.9512195121951219,0.9777777777777777
P3_mba_presence,MBA Presence,RF,p2,2,0.8196637799286806,0.801294343240652,0.9096045197740112
P3_mba_presence,MBA Presence,RF,p2,3,0.9284261576971213,0.9079768270944741,0.9453551912568307
P3_mba_presence,MBA Presence,RF,p2,4,0.8332678968721372,0.8741496598639455,0.8846153846153846
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,0,0.8126257050179304,0.8207070707070706,0.8169014084507042
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,1,0.7053872053872053,0.8550724637681159,0.6946564885496184
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,2,0.6022686858257328,0.6591723688497882,0.6754385964912281
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,3,0.9927211849910834,0.9948717948717949,0.9921875
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p2,4,0.8602196548281272,0.869281045751634,0.8518518518518519
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,0,0.349605343047966,0.3037037037037037,0.45038167938931295
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,1,0.37606060606060604,0.37058322690506595,0.33884297520661155
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,2,0.3971933980544898,0.3726376963579559,0.5338345864661654
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,3,0.33085733955299174,0.3443349753694582,0.3026315789473684
G2_mg_molar_grade,MG Positive Molar Grade,RF,p2,4,0.6405937228537977,0.6888053467000835,0.5945945945945946
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,0,0.7644419862340216,0.7502923976608188,0.7807017543859649
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,1,0.5608092213596801,0.5427617312863214,0.5467625899280576
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,2,0.37696969696969695,0.4597701149425288,0.40268456375838924
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,3,0.7362754601264395,0.7413804225124979,0.75
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p2,4,0.6966861598440546,0.7611644997173544,0.7142857142857143
