Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,RF,p4,0,0.8291984732824427,0.9055005709935288,0.8659217877094972
P1_thiram_presence,Thiram Presence,RF,p4,1,0.9247994652406417,0.8979591836734694,0.9444444444444444
P1_thiram_presence,Thiram Presence,RF,p4,2,0.6734799291617474,0.6670843776106934,0.7175141242937854
P1_thiram_presence,Thiram Presence,RF,p4,3,0.8885166006701188,0.8649147727272728,0.912568306010929
P1_thiram_presence,Thiram Presence,RF,p4,4,0.9226190476190477,0.8936170212765957,0.945054945054945
P2_mg_presence,MG Presence,RF,p4,0,0.9554726368159204,0.9375,0.9664804469273743
P2_mg_presence,MG Presence,RF,p4,1,0.7175866495507061,0.7139655413923518,0.7555555555555555
P2_mg_presence,MG Presence,RF,p4,2,0.7673521305914777,0.769395078605605,0.8248587570621468
P2_mg_presence,MG Presence,RF,p4,3,0.7603331761747603,0.763688455008489,0.8633879781420765
P2_mg_presence,MG Presence,RF,p4,4,0.858533097036968,0.8670853952544093,0.8626373626373627
P3_mba_presence,MBA Presence,RF,p4,0,0.7666785164118972,0.7461538461538462,0.8156424581005587
P3_mba_presence,MBA Presence,RF,p4,1,0.8111364376424617,0.89568345323741,0.8388888888888889
P3_mba_presence,MBA Presence,RF,p4,2,0.9491525423728814,0.9687200383509109,0.9717514124293786
P3_mba_presence,MBA Presence,RF,p4,3,0.8918823112371499,0.8709893048128342,0.9180327868852459
P3_mba_presence,MBA Presence,RF,p4,4,0.9344481605351171,0.9108843537414966,0.9615384615384616
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0,0.6701948469997766,0.7247474747474748,0.6619718309859155
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,1,0.6906156850652687,0.8442028985507246,0.6717557251908397
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,2,0.7968336349631314,0.7963985203074387,0.8157894736842105
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,3,0.9537916864232653,0.964835164835165,0.953125
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,4,0.8455338261257591,0.8512630277336161,0.837037037037037
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,0,0.5551286976565502,0.6,0.8015267175572519
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,1,0.38714524569517733,0.37984248616432525,0.34710743801652894
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,2,0.4465508823324266,0.49601275917065396,0.6390977443609023
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,3,0.4696581196581196,0.4533524904214559,0.5197368421052632
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,4,0.6527437023575143,0.7176274018379282,0.6486486486486487
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,0,0.8882899507899508,0.8947368421052632,0.8947368421052632
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,1,0.7682539682539683,0.7665452337583485,0.7482014388489209
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,2,0.7548982381796504,0.7677293428757319,0.738255033557047
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,3,0.8629900107140607,0.8693718755039509,0.8636363636363636
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,4,0.7114889959292237,0.7502355379687206,0.7006802721088435
