Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0,0.7667274825929925,0.8667681766273316,0.8044692737430168
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,1,0.9247994652406417,0.8979591836734694,0.9444444444444444
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,2,0.5044250635600038,0.5261069340016709,0.5084745762711864
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,3,0.6352159468438539,0.6258522727272727,0.7377049180327869
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,4,0.8754578754578755,0.8676910953506698,0.9065934065934066
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0,0.45658773527625984,0.4930820610687023,0.6927374301675978
P2_mg_presence,MG Presence,Spectrum-KAN,p4,1,0.7960451770898059,0.7850539291217258,0.8277777777777777
P2_mg_presence,MG Presence,Spectrum-KAN,p4,2,0.6113909337466098,0.6105604921394395,0.711864406779661
P2_mg_presence,MG Presence,Spectrum-KAN,p4,3,0.3857975622681505,0.3921901528013582,0.4808743169398907
P2_mg_presence,MG Presence,Spectrum-KAN,p4,4,0.7994016690284994,0.8017383580763862,0.8076923076923077
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0,0.7550629447181172,0.751821862348178,0.776536312849162
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,1,0.9398395721925134,0.9626250219336725,0.9555555555555556
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,2,0.7986617597858816,0.7689357622243529,0.903954802259887
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,3,0.93512938674229,0.9117647058823529,0.9508196721311475
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,4,0.8889566809029896,0.8721088435374149,0.9340659340659341
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0,0.6324014036918473,0.6763791763791763,0.6267605633802817
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,1,0.7004488049264168,0.8514492753623188,0.6870229007633588
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,2,0.5340909090909091,0.624633431085044,0.5263157894736842
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,3,0.7604864234549392,0.7626373626373626,0.765625
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,4,0.6411644695543001,0.6544892827746395,0.6222222222222222
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0,0.4938800869835352,0.47474747474747475,0.648854961832061
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,1,0.2793177065560718,0.22903363133248192,0.2396694214876033
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,2,0.8424446083654346,0.8309409888357256,0.9097744360902256
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,3,0.43885281385281383,0.4377257799671592,0.5328947368421053
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,4,0.7185123826515442,0.7573099415204677,0.6936936936936937
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0,0.7750465376023827,0.7860411899313501,0.7631578947368421
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,1,0.6228535353535353,0.6435076762945616,0.5827338129496403
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,2,0.6043097643097642,0.6341814197171524,0.6040268456375839
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,3,0.7298727298727298,0.7468150298338978,0.7575757575757576
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,4,0.4415814536340852,0.44162023203854744,0.4217687074829932
