Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.8253806675997795,0.8690521507422916,0.8715083798882681
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.4098360655737705,0.4770992366412214,0.6944444444444444
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.49024526198439244,0.5327903091060986,0.6497175141242938
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.8526570048309179,0.8181818181818181,0.8907103825136612
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.80955098934551,0.7659574468085106,0.8791208791208791
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0,0.6052213160999128,0.5982824427480916,0.7597765363128491
P2_mg_presence,MG Presence,Spectrum-KAN,p1,1,0.5404255319148936,0.5424429191763552,0.5833333333333334
P2_mg_presence,MG Presence,Spectrum-KAN,p1,2,0.7301829268292683,0.7200956937799043,0.807909604519774
P2_mg_presence,MG Presence,Spectrum-KAN,p1,3,0.4297542735042735,0.4230687606112054,0.6174863387978142
P2_mg_presence,MG Presence,Spectrum-KAN,p1,4,0.6488907261953976,0.6462377870828575,0.6923076923076923
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0,0.7940161104718066,0.78582995951417,0.8156424581005587
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,1,0.8495989304812834,0.8678715564134059,0.8888888888888888
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,2,0.8647478349465105,0.8437200383509109,0.9322033898305084
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,3,0.75188180840619,0.7156862745098039,0.8415300546448088
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,4,0.9444783404514948,0.9251700680272108,0.967032967032967
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0,0.6396560392503597,0.7095959595959597,0.647887323943662
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,1,0.6934583934583934,0.8550724637681159,0.6946564885496184
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,2,0.09433691756272401,0.0998217468805704,0.12280701754385964
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,3,0.8445315904139433,0.863003663003663,0.8515625
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,4,0.6372707025260494,0.676570187208485,0.6444444444444445
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0,0.3846153846153846,0.5548821548821549,0.48854961832061067
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,1,0.2506864666239463,0.3634525329927629,0.2892561983471074
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,2,0.5097478991596639,0.504730069257827,0.6090225563909775
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,3,0.29107819896623965,0.33007662835249046,0.2631578947368421
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,4,0.31196205998664295,0.5050125313283208,0.36936936936936937
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0,0.6559167774854049,0.6553267226036105,0.6842105263157895
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,1,0.31632403020604777,0.3034955330037297,0.2805755395683453
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,2,0.46290330111593586,0.5867490782910432,0.5503355704697986
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,3,0.7374566174566176,0.7512739880664409,0.7651515151515151
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,4,0.7380952380952381,0.7446903012194137,0.7551020408163265
