Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,RF,p4,0,0.8352211326796077,0.9090216977540921,0.8715083798882681
P1_thiram_presence,Thiram Presence,RF,p4,1,0.9166350890488821,0.8877551020408163,0.9388888888888889
P1_thiram_presence,Thiram Presence,RF,p4,2,0.6894736842105263,0.6829573934837092,0.7288135593220338
P1_thiram_presence,Thiram Presence,RF,p4,3,0.8961525366019748,0.8740056818181818,0.9180327868852459
P1_thiram_presence,Thiram Presence,RF,p4,4,0.9226190476190477,0.8936170212765957,0.945054945054945
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0,0.6681979368149581,0.7081271412257328,0.7430167597765364
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,1,0.9561972744970799,0.9387755102040816,0.9666666666666667
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,2,0.5759518259518259,0.5973266499582289,0.5819209039548022
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,3,0.9499726626571897,0.96875,0.9562841530054644
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,4,0.8694638694638694,0.8297872340425532,0.9120879120879121
P2_mg_presence,MG Presence,RF,p4,0,0.9397306397306397,0.9166666666666667,0.9553072625698324
P2_mg_presence,MG Presence,RF,p4,1,0.7170949230600534,0.7094130830648551,0.7611111111111111
P2_mg_presence,MG Presence,RF,p4,2,0.7616161616161616,0.7656356801093642,0.8192090395480226
P2_mg_presence,MG Presence,RF,p4,3,0.7737704918032787,0.77026740237691,0.8743169398907104
P2_mg_presence,MG Presence,RF,p4,4,0.8161616161616161,0.817789620606522,0.8241758241758241
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0,0.45740798020414475,0.509382951653944,0.7262569832402235
P2_mg_presence,MG Presence,Spectrum-KAN,p4,1,0.6229576874738165,0.6445580613531308,0.6388888888888888
P2_mg_presence,MG Presence,Spectrum-KAN,p4,2,0.4539284245166598,0.47026657552973344,0.6610169491525424
P2_mg_presence,MG Presence,Spectrum-KAN,p4,3,0.33407525172231056,0.31451612903225806,0.4371584699453552
P2_mg_presence,MG Presence,Spectrum-KAN,p4,4,0.893025078369906,0.8833904326862074,0.9010989010989011
P3_mba_presence,MBA Presence,RF,p4,0,0.7666785164118972,0.7461538461538462,0.8156424581005587
P3_mba_presence,MBA Presence,RF,p4,1,0.8092035527614314,0.8870854535883488,0.8388888888888889
P3_mba_presence,MBA Presence,RF,p4,2,0.9491525423728814,0.9687200383509109,0.9717514124293786
P3_mba_presence,MBA Presence,RF,p4,3,0.8918823112371499,0.8709893048128342,0.9180327868852459
P3_mba_presence,MBA Presence,RF,p4,4,0.9344481605351171,0.9108843537414966,0.9615384615384616
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0,0.792102206736353,0.7769905533063428,0.8212290502793296
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,1,0.9621068586585828,0.9820143884892086,0.9722222222222222
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,2,0.8557638061806557,0.8403643336529243,0.9265536723163842
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,3,0.9274039987305618,0.9019607843137255,0.9453551912568307
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,4,0.8643056849953401,0.8802721088435375,0.9120879120879121
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0,0.6711223735613979,0.7247474747474748,0.6619718309859155
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,1,0.6906156850652687,0.8442028985507246,0.6717557251908397
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,2,0.7968336349631314,0.7963985203074387,0.8157894736842105
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,3,0.9537916864232653,0.964835164835165,0.953125
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,4,0.8455338261257591,0.8512630277336161,0.837037037037037
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0,0.7122259383128947,0.7313196063196062,0.7183098591549296
