Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p4,0.7915794412277645,0.11614116400109238,0.8362894172348838,0.08781191550063064,0.7879358133796005,0.12231001766551688
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p4,0.6544790308205315,0.13226449332635132,0.7058842648946074,0.128698748619186,0.6459978515536173,0.1407033233284284
G2_mg_molar_grade,MG Positive Molar Grade,RF,p4,0.49385790344267627,0.10248746157415577,0.5242995215892978,0.13302668981751228,0.5877687837739337,0.1714716488202914
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p4,0.49705881074181246,0.12062435849427253,0.4985403410817145,0.12534346014928893,0.5348210049486575,0.14842922438317493
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p4,0.7959168296013951,0.07728880722709804,0.8091594798280081,0.06848859440650569,0.7879528422554303,0.08698722654050565
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p4,0.643228609448335,0.12671559645715716,0.6446616540092801,0.14311039444438498,0.6323300690181208,0.1429393803978805
P1_thiram_presence,Thiram Presence,RF,p4,0.8520202980320077,0.09722464034900244,0.849471379274679,0.09392757985928148,0.8804597120078764,0.0895473768045044
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p4,0.8039567138769848,0.17263089779666468,0.8085533070861193,0.1563440099030599,0.8319952790982764,0.16617258097382767
P2_mg_presence,MG Presence,RF,p4,0.80167476647435,0.08486221661391508,0.7959544905648637,0.07764772105841806,0.8468240354591001,0.07270953381818167
P2_mg_presence,MG Presence,Spectrum-KAN,p4,0.5522788844573675,0.21644259553335835,0.5644228300510548,0.21360602432995932,0.6728840384651822,0.1671778517166308
P3_mba_presence,MBA Presence,RF,p4,0.8702730166636954,0.07948064258471346,0.8767665993294873,0.08188254284530612,0.9011708015685068,0.07089488298171924
P3_mba_presence,MBA Presence,Spectrum-KAN,p4,0.8803365110602988,0.06623412226883554,0.8763204337211477,0.0758345595105419,0.9154896096325358,0.05729219051460113
