Model,Task,F1_Group,F1_Random,Delta
1D-CNN,G1_thiram_molar_grade,0.575253810953423,0.9326380661792466,0.3573842552258236
1D-CNN,G2_mg_molar_grade,0.443421327305453,0.6610026236686035,0.21758129636315054
1D-CNN,G3_mba_molar_grade,0.5844589568473999,0.8205284780312985,0.23606952118389857
1D-CNN,P1_thiram_presence,0.6237580589413834,0.9319485778118812,0.30819051887049786
1D-CNN,P2_mg_presence,0.6385037779936531,0.8723758341593928,0.2338720561657397
1D-CNN,P3_mba_presence,0.7558966993129982,0.929080358831658,0.17318365951865977
HistGradientBoosting,G1_thiram_molar_grade,0.7475118552618851,0.9925239764751714,0.2450121212132863
HistGradientBoosting,G2_mg_molar_grade,0.4466506774168854,0.9372435408742618,0.49059286345737635
HistGradientBoosting,G3_mba_molar_grade,0.7489229319358914,0.9597687077652098,0.2108457758293184
HistGradientBoosting,P1_thiram_presence,0.8556257108189278,0.9617214761997176,0.1060957653807898
HistGradientBoosting,P2_mg_presence,0.7859327767671198,0.9740686281242252,0.18813585135710542
HistGradientBoosting,P3_mba_presence,0.844138412958644,0.9612361128012612,0.1170976998426172
KNN,G1_thiram_molar_grade,0.6880109657221049,0.9851158147220492,0.2971048489999444
KNN,G2_mg_molar_grade,0.3854267186863868,0.9272106432982364,0.5417839246118497
KNN,G3_mba_molar_grade,0.5865428325441385,0.9513401359142936,0.36479730337015503
KNN,P1_thiram_presence,0.8211847888413033,0.9945116230958222,0.1733268342545189
KNN,P2_mg_presence,0.6559727582783951,0.96414809439842,0.3081753361200249
KNN,P3_mba_presence,0.82094372611277,0.9877167423471904,0.16677301623442042
PLS-DA,G1_thiram_molar_grade,0.8368172742431055,0.9332066740483616,0.09638939980525607
PLS-DA,G2_mg_molar_grade,0.410599786120933,0.8159346027766313,0.4053348166556983
PLS-DA,G3_mba_molar_grade,0.5587000307936789,0.8613820351792022,0.3026820043855233
PLS-DA,P1_thiram_presence,0.8788859886855462,0.973706754947138,0.09482076626159175
PLS-DA,P2_mg_presence,0.7022142738388025,0.9390612505937403,0.23684697675493782
PLS-DA,P3_mba_presence,0.8733680754452516,0.9750323721425672,0.10166429669731558
RF,G1_thiram_molar_grade,0.8005825853124839,0.9954264925879024,0.19484390727541845
RF,G2_mg_molar_grade,0.4907413857330838,0.9520503327100274,0.4613089469769436
RF,G3_mba_molar_grade,0.7590151850260852,0.973395029179376,0.2143798441532908
RF,P1_thiram_presence,0.8575964678231613,0.9958545698347676,0.13825810201160627
RF,P2_mg_presence,0.7969558183369632,0.975312435627978,0.17835661729101482
RF,P3_mba_presence,0.909145329633507,0.9849893706279144,0.07584404099440734
SVM,G1_thiram_molar_grade,0.6984374243937499,0.99839264100702,0.29995521661327007
SVM,G2_mg_molar_grade,0.4392862477297128,0.931765121160278,0.4924788734305652
SVM,G3_mba_molar_grade,0.7255069129430465,0.9769980172765894,0.25149110433354294
SVM,P1_thiram_presence,0.9228941138323028,0.9972476012079972,0.07435348737569436
SVM,P2_mg_presence,0.7209053506718707,0.9781641716262848,0.2572588209544141
SVM,P3_mba_presence,0.920198135521353,0.9893697525362324,0.0691716170148794
Spectrum-KAN,G1_thiram_molar_grade,0.6965808230123322,0.9985422856011092,0.3019614625887771
Spectrum-KAN,G2_mg_molar_grade,0.5546015196818799,0.5597151476377757,0.005113627955895872
Spectrum-KAN,G3_mba_molar_grade,0.7420685444654253,0.9131579748836676,0.17108943041824232
Spectrum-KAN,P1_thiram_presence,0.8976128714008033,0.977973887389959,0.08036101598915579
Spectrum-KAN,P2_mg_presence,0.6596804006940739,0.9359213923045704,0.27624099161049653
Spectrum-KAN,P3_mba_presence,0.8871147628034688,0.9382038291446284,0.05108906634115962
