Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,RF,p1,0,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,RF,p1,1,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,RF,p1,2,0.9930337861372345,0.99,0.9944444444444445
P1_thiram_presence,Thiram Presence,RF,p1,3,0.972640218878249,0.9784615384615385,0.9777777777777777
P1_thiram_presence,Thiram Presence,RF,p1,4,0.9930337861372345,0.99,0.9944444444444445
P1_thiram_presence,Thiram Presence,SVM,p1,0,0.9932151291374592,0.9961538461538462,0.994475138121547
P1_thiram_presence,Thiram Presence,SVM,p1,1,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,SVM,p1,2,0.9931190030199931,0.9961538461538462,0.9944444444444445
P1_thiram_presence,Thiram Presence,SVM,p1,3,0.9863201094391245,0.9923076923076923,0.9888888888888889
P1_thiram_presence,Thiram Presence,SVM,p1,4,0.9931190030199931,0.9961538461538462,0.9944444444444445
P1_thiram_presence,Thiram Presence,PLS-DA,p1,0,0.9374351883857588,0.9296380090497738,0.9502762430939227
P1_thiram_presence,Thiram Presence,PLS-DA,p1,1,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,PLS-DA,p1,2,0.9793570090599794,0.9823076923076923,0.9833333333333333
P1_thiram_presence,Thiram Presence,PLS-DA,p1,3,0.972640218878249,0.9784615384615385,0.9777777777777777
P1_thiram_presence,Thiram Presence,PLS-DA,p1,4,0.9791013584117032,0.9761538461538461,0.9833333333333333
P1_thiram_presence,Thiram Presence,KNN,p1,0,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,KNN,p1,1,0.9931190030199931,0.9961538461538462,0.9944444444444445
P1_thiram_presence,Thiram Presence,KNN,p1,2,0.9931190030199931,0.9961538461538462,0.9944444444444445
P1_thiram_presence,Thiram Presence,KNN,p1,3,0.9863201094391245,0.9923076923076923,0.9888888888888889
P1_thiram_presence,Thiram Presence,KNN,p1,4,1.0,1.0,1.0
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,0,0.9507099786033846,0.9373303167420814,0.9613259668508287
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,1,0.9380710271799381,0.9407692307692308,0.95
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,2,0.9424092145256759,0.9261538461538461,0.9555555555555556
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,3,0.9364979812629846,0.9284615384615384,0.95
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p1,4,0.926995457495133,0.9061538461538461,0.9444444444444444
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.9204141183994883,0.8981146304675717,0.9392265193370166
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.9715909090909092,0.96,0.9777777777777777
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.9465161194473333,0.963076923076923,0.9555555555555556
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.9529411764705882,0.966923076923077,0.9611111111111111
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.9573863636363636,0.9461538461538461,0.9666666666666667
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0,0.92082239720035,0.935972850678733,0.9337016574585635
P1_thiram_presence,Thiram Presence,1D-CNN,p1,1,0.8903658055963599,0.9223076923076923,0.9055555555555556
P1_thiram_presence,Thiram Presence,1D-CNN,p1,2,0.9338208260141345,0.9099999999999999,0.95
P1_thiram_presence,Thiram Presence,1D-CNN,p1,3,0.9083636363636363,0.9338461538461538,0.9222222222222223
P1_thiram_presence,Thiram Presence,1D-CNN,p1,4,0.9579373734226515,0.9523076923076923,0.9666666666666667
P2_mg_presence,MG Presence,RF,p1,0,0.9861832061068703,0.9924242424242424,0.988950276243094
P2_mg_presence,MG Presence,RF,p1,1,0.9584615384615385,0.9584615384615385,0.9666666666666667
P2_mg_presence,MG Presence,RF,p1,2,0.9589603283173734,0.9707119489016981,0.9666666666666667
P2_mg_presence,MG Presence,RF,p1,3,0.9861538461538462,0.9803921568627452,0.9888888888888889
P2_mg_presence,MG Presence,RF,p1,4,0.9603174603174602,0.9603174603174602,0.9666666666666667
P2_mg_presence,MG Presence,SVM,p1,0,0.9794013884147035,0.9886363636363636,0.9834254143646409
P2_mg_presence,MG Presence,SVM,p1,1,0.9729567307692308,0.9846153846153847,0.9777777777777777
P2_mg_presence,MG Presence,SVM,p1,2,0.9660005288806619,0.9809160305343512,0.9722222222222222
P2_mg_presence,MG Presence,SVM,p1,3,0.9798319327731093,0.9883720930232558,0.9833333333333333
P2_mg_presence,MG Presence,SVM,p1,4,0.9674373168349072,0.9748677248677249,0.9722222222222222
P2_mg_presence,MG Presence,PLS-DA,p1,0,0.9720160791589363,0.9720160791589363,0.9779005524861878
P2_mg_presence,MG Presence,PLS-DA,p1,1,0.916923076923077,0.916923076923077,0.9333333333333333
P2_mg_presence,MG Presence,PLS-DA,p1,2,0.9524007404329267,0.9668951550085683,0.9611111111111111
P2_mg_presence,MG Presence,PLS-DA,p1,3,0.9394957983193277,0.9473324213406293,0.95
P2_mg_presence,MG Presence,PLS-DA,p1,4,0.9144705581344348,0.9166666666666666,0.9277777777777778
P2_mg_presence,MG Presence,KNN,p1,0,0.9720160791589363,0.9720160791589363,0.9779005524861878
P2_mg_presence,MG Presence,KNN,p1,1,0.9584615384615385,0.9584615384615385,0.9666666666666667
P2_mg_presence,MG Presence,KNN,p1,2,0.9446153846153846,0.9503037856363921,0.9555555555555556
P2_mg_presence,MG Presence,KNN,p1,3,0.9655950150999656,0.9628362973096215,0.9722222222222222
P2_mg_presence,MG Presence,KNN,p1,4,0.9800524546562742,0.9775132275132274,0.9833333333333333
P2_mg_presence,MG Presence,HistGradientBoosting,p1,0,0.9791450627952529,0.9822201607915894,0.9834254143646409
P2_mg_presence,MG Presence,HistGradientBoosting,p1,1,0.9791013584117032,0.9761538461538461,0.9833333333333333
P2_mg_presence,MG Presence,HistGradientBoosting,p1,2,0.9655950150999656,0.9745287427948278,0.9722222222222222
P2_mg_presence,MG Presence,HistGradientBoosting,p1,3,0.9729567307692308,0.9785681714546284,0.9777777777777777
P2_mg_presence,MG Presence,HistGradientBoosting,p1,4,0.9735449735449735,0.9735449735449735,0.9777777777777777
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0,0.9271336553945249,0.910791589363018,0.9447513812154696
P2_mg_presence,MG Presence,Spectrum-KAN,p1,1,0.9424092145256759,0.9261538461538461,0.9555555555555556
P2_mg_presence,MG Presence,Spectrum-KAN,p1,2,0.9452804377564978,0.9566910733759153,0.9555555555555556
P2_mg_presence,MG Presence,Spectrum-KAN,p1,3,0.9188701923076923,0.9238486092111263,0.9333333333333333
P2_mg_presence,MG Presence,Spectrum-KAN,p1,4,0.9459134615384616,0.9365079365079365,0.9555555555555556
P2_mg_presence,MG Presence,1D-CNN,p1,0,0.7572796934865901,0.7207019171304886,0.8453038674033149
P2_mg_presence,MG Presence,1D-CNN,p1,1,0.8199295376451655,0.7884615384615384,0.8722222222222222
P2_mg_presence,MG Presence,1D-CNN,p1,2,0.9506095409823214,0.9477332917899984,0.9611111111111111
P2_mg_presence,MG Presence,1D-CNN,p1,3,0.9136138217885139,0.8942088463292294,0.9333333333333333
P2_mg_presence,MG Presence,1D-CNN,p1,4,0.7981366459627329,0.7645502645502646,0.8555555555555555
P3_mba_presence,MBA Presence,RF,p1,0,0.9769377787215969,0.9809009934909215,0.9834254143646409
P3_mba_presence,MBA Presence,RF,p1,1,0.9742255739582836,0.9605263157894737,0.9833333333333333
P3_mba_presence,MBA Presence,RF,p1,2,0.9804623901009444,0.978110599078341,0.9833333333333333
P3_mba_presence,MBA Presence,RF,p1,3,0.9917397090541966,0.9964788732394366,0.9944444444444445
