Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P1_thiram_presence,Thiram Presence,RF,raw,0,0.9580241187384044,0.9471342383107089,0.9668508287292817
P1_thiram_presence,Thiram Presence,RF,raw,1,0.9452804377564978,0.9507692307692308,0.9555555555555556
P1_thiram_presence,Thiram Presence,RF,raw,2,0.9431818181818181,0.9323076923076923,0.9555555555555556
P1_thiram_presence,Thiram Presence,RF,raw,3,0.9729567307692308,0.9846153846153847,0.9777777777777777
P1_thiram_presence,Thiram Presence,RF,raw,4,0.972640218878249,0.9784615384615385,0.9777777777777777
P1_thiram_presence,Thiram Presence,SVM,raw,0,0.8994125119085423,0.8806184012066365,0.9226519337016574
P1_thiram_presence,Thiram Presence,SVM,raw,1,0.8195187165775402,0.796923076923077,0.8666666666666667
P1_thiram_presence,Thiram Presence,SVM,raw,2,0.8134251005431403,0.793076923076923,0.8611111111111112
P1_thiram_presence,Thiram Presence,SVM,raw,3,0.8101881894873459,0.7953846153846154,0.8555555555555555
P1_thiram_presence,Thiram Presence,SVM,raw,4,0.8560230363141897,0.8430769230769231,0.8888888888888888
P1_thiram_presence,Thiram Presence,PLS-DA,raw,0,0.8713897596656217,0.839291101055807,0.9060773480662984
P1_thiram_presence,Thiram Presence,PLS-DA,raw,1,0.7910714285714286,0.7584615384615385,0.8555555555555555
P1_thiram_presence,Thiram Presence,PLS-DA,raw,2,0.7826086956521738,0.756923076923077,0.8444444444444444
P1_thiram_presence,Thiram Presence,PLS-DA,raw,3,0.8512461397938325,0.8161538461538462,0.8944444444444445
P1_thiram_presence,Thiram Presence,PLS-DA,raw,4,0.8408488063660478,0.8146153846153846,0.8833333333333333
P1_thiram_presence,Thiram Presence,KNN,raw,0,0.9453996983408748,0.9453996983408748,0.9558011049723757
P1_thiram_presence,Thiram Presence,KNN,raw,1,0.9316005471956225,0.936923076923077,0.9444444444444444
P1_thiram_presence,Thiram Presence,KNN,raw,2,0.9424092145256759,0.9261538461538461,0.9555555555555556
P1_thiram_presence,Thiram Presence,KNN,raw,3,0.9598870895855,0.976923076923077,0.9666666666666667
P1_thiram_presence,Thiram Presence,KNN,raw,4,0.9452804377564978,0.9507692307692308,0.9555555555555556
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,0,0.9519365729676417,0.9492458521870286,0.9613259668508287
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,1,0.9459134615384616,0.956923076923077,0.9555555555555556
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,2,0.9364979812629846,0.9284615384615384,0.95
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,3,0.9796003173283971,0.9884615384615385,0.9833333333333333
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,4,0.9518330211399519,0.9546153846153846,0.9611111111111111
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0,0.9085858585858586,0.9282805429864254,0.9226519337016574
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,1,0.6076982749067268,0.6130769230769231,0.6722222222222223
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,2,0.5588098414569824,0.6592307692307693,0.5611111111111111
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,3,0.7593582887700534,0.7415384615384616,0.8222222222222222
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,4,0.8738121202679545,0.8692307692307693,0.9
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0,0.8119953090970011,0.86289592760181,0.8287292817679558
P1_thiram_presence,Thiram Presence,1D-CNN,raw,1,0.8094939437889538,0.8038461538461539,0.85
P1_thiram_presence,Thiram Presence,1D-CNN,raw,2,0.6943692350052774,0.6730769230769231,0.7944444444444444
P1_thiram_presence,Thiram Presence,1D-CNN,raw,3,0.6464285714285715,0.6338461538461538,0.7555555555555555
P1_thiram_presence,Thiram Presence,1D-CNN,raw,4,0.7712374581939799,0.8292307692307692,0.7888888888888889
P2_mg_presence,MG Presence,RF,raw,0,0.9580241187384044,0.9580241187384044,0.9668508287292817
P2_mg_presence,MG Presence,RF,raw,1,0.9213505461767626,0.9084615384615384,0.9388888888888889
P2_mg_presence,MG Presence,RF,raw,2,0.9316005471956225,0.9426701978501324,0.9444444444444444
P2_mg_presence,MG Presence,RF,raw,3,0.9364979812629846,0.9236206110351117,0.95
