Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p3,0.9112709164397976,0.04813094885781256,0.9068280500848586,0.04996477134764406,0.9123076923076923,0.04760537983620249
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,p3,0.9846274246386342,0.008694876845874923,0.9845420110844356,0.00946317941608705,0.9846153846153847,0.009421114395319929
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,p3,0.9851158147220493,0.008832315008366017,0.9844269378663503,0.008992765670466264,0.9861538461538462,0.00842650088469485
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,p3,0.9255585456585953,0.022630848258180417,0.9234422822533386,0.024624943189756835,0.9230769230769231,0.023076923076923092
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,p3,0.9906262858570184,0.006538245072629935,0.9909099337423708,0.006429418659632807,0.9907692307692308,0.006435846357954395
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,p3,0.9922329508124443,0.009490153434878091,0.9922236295813732,0.008986010193917454,0.9923076923076923,0.0094211143953199
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p3,0.9239719062892571,0.033757899493978887,0.9242017493153366,0.035485061211547764,0.9215384615384616,0.03370600353877944
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p3,0.24939887101229372,0.18610090242864857,0.38546464646464645,0.11656915991794363,0.38965838627120364,0.12935429275182136
G2_mg_molar_grade,MG Positive Molar Grade,HistGradientBoosting,p3,0.9372435408742618,0.018076230506459675,0.9370972497711628,0.017761079201247407,0.9384963219119087,0.017203192555434958
G2_mg_molar_grade,MG Positive Molar Grade,KNN,p3,0.9234345281338532,0.011080833404810952,0.9233671208019034,0.012889866451790704,0.9244309557535193,0.010973238908516484
G2_mg_molar_grade,MG Positive Molar Grade,PLS-DA,p3,0.7713890464851563,0.05156551076710382,0.7734259764305531,0.05133846277487524,0.7718625119086685,0.05042398685012478
G2_mg_molar_grade,MG Positive Molar Grade,RF,p3,0.9469679586180068,0.009347248220507705,0.947456964681221,0.010035222734493565,0.9474755910598269,0.010445850305981944
G2_mg_molar_grade,MG Positive Molar Grade,SVM,p3,0.9188469622102243,0.021923100277751743,0.9160530401033833,0.023496531223128166,0.91969290310849,0.023192061838256936
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p3,0.38909952818073784,0.1584317625942793,0.4481635524404403,0.10633584072397986,0.45757110258619227,0.10480802873176162
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p3,0.29820909389436845,0.21981234472116842,0.4172115142705001,0.15219890787166798,0.41141916740499385,0.16668746446642496
G3_mba_molar_grade,MBA Positive Molar Grade,HistGradientBoosting,p3,0.9540976668139132,0.01010247380377237,0.9547176249013425,0.012278777826792894,0.9543881247812888,0.009987995782038408
G3_mba_molar_grade,MBA Positive Molar Grade,KNN,p3,0.9513401359142936,0.01731608572896807,0.9524682171601079,0.01689305444944132,0.9511015218964,0.017219727149592322
G3_mba_molar_grade,MBA Positive Molar Grade,PLS-DA,p3,0.8613820351792022,0.038013906076259214,0.8630770492577465,0.03888635439388308,0.8596597565810724,0.03904362956099424
G3_mba_molar_grade,MBA Positive Molar Grade,RF,p3,0.9646374714936072,0.013709822225509085,0.9662825282224959,0.013611722917674436,0.9646270134915687,0.013435183681065856
G3_mba_molar_grade,MBA Positive Molar Grade,SVM,p3,0.9699244118675903,0.014751165909911426,0.9713870285359347,0.014686287754100654,0.969573099954127,0.015619490168937112
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p3,0.8483303951263542,0.044594423954485415,0.8491840335144181,0.04438857297299563,0.848704282723807,0.041805645623962426
P1_thiram_presence,Thiram Presence,1D-CNN,p3,0.6841724122974842,0.1991123779755658,0.7272307692307692,0.1806240005807612,0.793646408839779,0.09754259590918388
P1_thiram_presence,Thiram Presence,HistGradientBoosting,p3,0.9567967706341325,0.02299198703793485,0.9528084464555053,0.02296101175085756,0.9655616942909762,0.018604369214777115
P1_thiram_presence,Thiram Presence,KNN,p3,0.9945116230958222,0.005727657449247783,0.9969230769230769,0.0032179231789772056,0.9955555555555555,0.004648111258522641
P1_thiram_presence,Thiram Presence,PLS-DA,p3,0.9723406719627157,0.011025898824744489,0.9724645550527903,0.015565342667255917,0.9778146101903008,0.008726061791560876
P1_thiram_presence,Thiram Presence,RF,p3,0.9958543584354441,0.003784595571215221,0.9964615384615385,0.004092134177929366,0.9966666666666667,0.003042903097250902
P1_thiram_presence,Thiram Presence,SVM,p3,0.9931710696031416,0.006839989625553816,0.9961538461538462,0.0038461538461538325,0.9944505831798651,0.005555572513362312
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p3,0.977973887389959,0.013271971733591735,0.9791945701357466,0.01446058559883602,0.9822467771639042,0.010673692561838517
P2_mg_presence,MG Presence,1D-CNN,p3,0.661694812244386,0.25315959748010525,0.71356998904,0.13650906511156233,0.7201534683855126,0.24608401902293478
P2_mg_presence,MG Presence,HistGradientBoosting,p3,0.9402775039513032,0.01488761812620292,0.9367729156367552,0.011363708068929572,0.9522836095764273,0.011469143316768118
P2_mg_presence,MG Presence,KNN,p3,0.9614709581440648,0.016364814972936865,0.9637516171181189,0.017240058443208174,0.9689134438305709,0.012811281239989095
P2_mg_presence,MG Presence,PLS-DA,p3,0.9264533504444055,0.02588382430756693,0.9272717175852586,0.025699035220370783,0.9400491098833641,0.02308215945771913
P2_mg_presence,MG Presence,RF,p3,0.9739877158734387,0.0075001397893493076,0.9759035834747211,0.009718489394953081,0.9789011663597298,0.006111033258747103
P2_mg_presence,MG Presence,SVM,p3,0.977183690016432,0.011006767601887499,0.9857659016197984,0.008146681862112959,0.9811172498465316,0.009307231920436894
P2_mg_presence,MG Presence,Spectrum-KAN,p3,0.8648211049598311,0.09418652380429224,0.8676688821343982,0.096285332594094,0.8911847759361571,0.072553261150489
P3_mba_presence,MBA Presence,1D-CNN,p3,0.8433504077400802,0.1047109925729494,0.817085029042081,0.10727382428929819,0.9024125230202579,0.05362143047477773
P3_mba_presence,MBA Presence,HistGradientBoosting,p3,0.9576539850747476,0.018501705899810175,0.9570669797722904,0.020290823452916315,0.9689073050951504,0.013404442216400964
P3_mba_presence,MBA Presence,KNN,p3,0.9860346101013849,0.010038324303199949,0.9810313636203183,0.012677877989581546,0.9900061387354204,0.007248277891621671
P3_mba_presence,MBA Presence,PLS-DA,p3,0.9750323721425673,0.014853472630777402,0.9787346457378883,0.0185403129290184,0.9822344996930632,0.009139951396413517
P3_mba_presence,MBA Presence,RF,p3,0.9780105027196846,0.00974039814579775,0.9721554437612399,0.013514093961209566,0.984462860650706,0.006081741254920226
P3_mba_presence,MBA Presence,SVM,p3,0.9893697525362324,0.0067451903314846825,0.9919289555289253,0.0067937389205094505,0.9922344996930633,0.004958810285656671
P3_mba_presence,MBA Presence,Spectrum-KAN,p3,0.8831195866468444,0.0322359432000924,0.9268793441788435,0.02662802793804109,0.9044996930632291,0.03234858455397279
S1_mixture_order,Mixture Complexity,1D-CNN,p3,0.19581751378547718,0.012609738841994038,0.33571428571428574,0.005323971374999536,0.39844689993861265,0.007226213384560408
S1_mixture_order,Mixture Complexity,HistGradientBoosting,p3,0.9790471796134674,0.0182047764860673,0.9781934016248155,0.018249382298621473,0.9789011663597298,0.017311568574275946
S1_mixture_order,Mixture Complexity,KNN,p3,0.9671191695258086,0.01353779750523642,0.9677102679329579,0.012970972563818637,0.9633640270104358,0.013968938279873076
S1_mixture_order,Mixture Complexity,PLS-DA,p3,0.910245047659361,0.028755274162633647,0.910748016390945,0.028007181930389098,0.9023756906077349,0.027662408077307663
S1_mixture_order,Mixture Complexity,RF,p3,0.9813595148053051,0.008422621275240077,0.9823545507604627,0.007823743046821957,0.9789195825659913,0.009100905589959811
S1_mixture_order,Mixture Complexity,SVM,p3,0.9746223873845287,0.008861191019138034,0.976114984501337,0.008887546214288153,0.9733640270104358,0.00823533149683709
S1_mixture_order,Mixture Complexity,Spectrum-KAN,p3,0.9012471127442099,0.04009030332418843,0.8998384832687225,0.0355472840004007,0.9012093308778392,0.03919763190634139
