Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0.9326380661792466,0.016494243781837368,0.9290263086740017,0.01254432499781994,0.9323076923076924,0.016676525683599053
G1_thiram_molar_grade,Thiram Positive Molar Grade,HistGradientBoosting,raw,0.9400468088573846,0.026646774519818065,0.9405373808983051,0.026741868195713666,0.9400000000000001,0.025162195744301747
G1_thiram_molar_grade,Thiram Positive Molar Grade,KNN,raw,0.9455458736874915,0.012314245570386538,0.9441481866176764,0.011443048328105665,0.9446153846153846,0.012639751327042318
G1_thiram_molar_grade,Thiram Positive Molar Grade,PLS-DA,raw,0.8617665194353339,0.026901203440704194,0.8611213136548704,0.03031282510687971,0.8569230769230769,0.031056352674132853
G1_thiram_molar_grade,Thiram Positive Molar Grade,RF,raw,0.953297762264541,0.024253230881230096,0.9518652846114272,0.025837891873268706,0.9523076923076923,0.025162195744301678
G1_thiram_molar_grade,Thiram Positive Molar Grade,SVM,raw,0.785868587505933,0.015945083438252388,0.780380042396543,0.010837998231921116,0.7815384615384615,0.013973770865065427
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0.8659135649459427,0.03304802887704857,0.8620841612257412,0.03527367382241677,0.8615384615384615,0.033085866411702435
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,0.6017255707026937,0.05260239135693573,0.6237222628206609,0.03572734044842535,0.6406570069573798,0.027210263054805048
G2_mg_molar_grade,MG Positive Molar Grade,HistGradientBoosting,raw,0.8537325279774842,0.01391491045376013,0.8563403140210921,0.013617920289005159,0.8563390910133322,0.0164333858900066
G2_mg_molar_grade,MG Positive Molar Grade,KNN,raw,0.8764636602522755,0.02862771162944228,0.8771712305407957,0.029633920557776722,0.8781738970341847,0.027479952984126838
G2_mg_molar_grade,MG Positive Molar Grade,PLS-DA,raw,0.6121618296489396,0.06182496398231714,0.6187534423369664,0.06670363347078942,0.611455164162425,0.06911227229580158
G2_mg_molar_grade,MG Positive Molar Grade,RF,raw,0.8888358639977835,0.01483004951693876,0.8905950850149935,0.01484517258178313,0.8904215474053926,0.014771593743230123
G2_mg_molar_grade,MG Positive Molar Grade,SVM,raw,0.5373208006901494,0.02445048927911071,0.5910393617315814,0.03231393111753839,0.5805073384906512,0.047331031750213595
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,0.48541218576527234,0.032109935003546294,0.5273710660049333,0.03898206617786391,0.5419480913587074,0.05656236413139998
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0.5532335670558026,0.19459062593926166,0.571155566937275,0.1811751996793439,0.5781107130272238,0.17748856344987662
G3_mba_molar_grade,MBA Positive Molar Grade,HistGradientBoosting,raw,0.9019240491168761,0.011614089331912592,0.9024294678049897,0.010163093515509288,0.9028727778286502,0.01050527250571909
G3_mba_molar_grade,MBA Positive Molar Grade,KNN,raw,0.9063354605603069,0.024317372217044296,0.908379757557241,0.024241457976837556,0.9069642016726288,0.025736533114574668
G3_mba_molar_grade,MBA Positive Molar Grade,PLS-DA,raw,0.67188122691167,0.03856294086698624,0.6975184595892239,0.03453316890119907,0.6929514873050735,0.030039416394242242
G3_mba_molar_grade,MBA Positive Molar Grade,RF,raw,0.920485179643643,0.012611044657459318,0.9205724670746399,0.013810207429588682,0.9210965160209238,0.013496131513636244
G3_mba_molar_grade,MBA Positive Molar Grade,SVM,raw,0.7038039317998478,0.03657201329585093,0.7232278076651582,0.03283310138284677,0.7204423469843003,0.03789182989541078
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,0.7344301103532362,0.04162329494573711,0.7425043197323771,0.04225250825583188,0.7463396785809365,0.034991668967196785
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0.7467049035027568,0.07348726395391722,0.760579185520362,0.10096000873399076,0.803523634131369,0.03671825592628782
P1_thiram_presence,Thiram Presence,HistGradientBoosting,raw,0.9531562708474874,0.016066137880330587,0.9555414781297135,0.021560698476141192,0.9622651933701658,0.01266426845334653
P1_thiram_presence,Thiram Presence,KNN,raw,0.9449153974808342,0.010100563812544473,0.9472337858220211,0.019026243903876226,0.9556046654389195,0.007857509399609346
P1_thiram_presence,Thiram Presence,PLS-DA,raw,0.8274329660098209,0.03876412111930627,0.7970889894419306,0.03727278501670763,0.8767710251688152,0.026025843748811662
P1_thiram_presence,Thiram Presence,RF,raw,0.95841666486484,0.0143050525500162,0.958657616892911,0.02210958180213945,0.9667034990791897,0.011111416347906236
P1_thiram_presence,Thiram Presence,SVM,raw,0.8397135109661518,0.038080921016933375,0.821815987933635,0.03890359717345841,0.8789748311847759,0.027500198654296808
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0.7416528767975151,0.15574143523545886,0.7622714932126697,0.13444846642134806,0.7756414978514427,0.15489165777652317
P2_mg_presence,MG Presence,1D-CNN,raw,0.8086745617914813,0.021678168031492237,0.8094920853203229,0.0386065478823101,0.8479435236341313,0.02378808490762511
P2_mg_presence,MG Presence,HistGradientBoosting,raw,0.9287648891387386,0.017595623490182902,0.9304378781792849,0.021827777585875428,0.9422713321055862,0.014543919630733315
P2_mg_presence,MG Presence,KNN,raw,0.9179661272493993,0.021448395734979277,0.9068342058645731,0.022190923881275512,0.935598526703499,0.016563802394552223
P2_mg_presence,MG Presence,PLS-DA,raw,0.7064909492536685,0.05130235959527524,0.6828118057848891,0.04314413557102796,0.8112829957028852,0.025134744640893082
P2_mg_presence,MG Presence,RF,raw,0.9278600232901395,0.024182824971999445,0.9232748699366141,0.029058159819502914,0.9422590546347452,0.020316286076636658
P2_mg_presence,MG Presence,SVM,raw,0.7691772321052751,0.04402020551097445,0.7559433513194573,0.046261683504278193,0.8257949662369551,0.031175776496146505
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0.7793874965807172,0.036499486627314406,0.761780824544786,0.03977573775120642,0.8379312461632903,0.028864236682945042
P3_mba_presence,MBA Presence,1D-CNN,raw,0.7213070693491341,0.10219622588461054,0.7394497462765138,0.0842643634088405,0.7792019643953345,0.08427944004873862
