Task,Rank,Wavenumber,Mean_SHAP,Assignment,Substance,Match
Thiram Presence,1,771,0.0455,,,
Thiram Presence,2,772,0.0387,,,
Thiram Presence,3,770,0.0325,,,
Thiram Presence,4,766,0.0189,,,
Thiram Presence,5,1548,0.0178,,,
Thiram Presence,6,773,0.0152,,,
Thiram Presence,7,1547,0.0124,,,
Thiram Presence,8,541,0.0123,ν(S–S)+ν(C–S–S),Thiram,✓
Thiram Presence,9,919,0.0109,ν(C–S),Thiram,✓
Thiram Presence,10,1549,0.0107,,,
Thiram Presence,11,767,0.0090,,,
Thiram Presence,12,1128,0.0087,,,
Thiram Presence,13,920,0.0083,ν(C–S),Thiram,✓
Thiram Presence,14,540,0.0075,ν(S–S)+ν(C–S–S),Thiram,✓
Thiram Presence,15,1127,0.0066,,,
Thiram Presence,16,542,0.0058,ν(S–S)+ν(C–S–S),Thiram,✓
Thiram Presence,17,917,0.0053,ν(C–S),Thiram,✓
Thiram Presence,18,1606,0.0051,ν(C=C)ring,MG,other
Thiram Presence,19,916,0.0048,ν(C–S),Thiram,✓
Thiram Presence,20,1332,0.0046,,,
MG Presence,1,1287,0.0493,,,
MG Presence,2,1286,0.0337,,,
MG Presence,3,1288,0.0309,,,
MG Presence,4,1289,0.0232,,,
MG Presence,5,777,0.0176,,,
MG Presence,6,778,0.0166,,,
MG Presence,7,1616,0.0153,ν(C=C)ring,MG,✓
MG Presence,8,1290,0.0143,,,
MG Presence,9,1291,0.0129,,,
MG Presence,10,1617,0.0127,ν(C=C)ring,MG,✓
MG Presence,11,1293,0.0114,,,
MG Presence,12,776,0.0094,,,
MG Presence,13,1615,0.0092,ν(C=C)ring,MG,✓
MG Presence,14,751,0.0085,,,
MG Presence,15,1294,0.0083,,,
MG Presence,16,1292,0.0078,,,
MG Presence,17,779,0.0075,,,
MG Presence,18,1623,0.0061,ν(C=C)ring,MG,✓
MG Presence,19,1622,0.0060,ν(C=C)ring,MG,✓
MG Presence,20,1241,0.0058,,,
MBA Presence,1,1574,0.0645,ν(C=C)ring,MBA,✓
MBA Presence,2,1573,0.0457,ν(C=C)ring,MBA,✓
MBA Presence,3,1571,0.0444,ν(C=C)ring,MBA,✓
MBA Presence,4,1572,0.0386,ν(C=C)ring,MBA,✓
MBA Presence,5,1575,0.0372,ν(C=C)ring,MBA,✓
MBA Presence,6,1570,0.0352,ν(C=C)ring,MBA,✓
MBA Presence,7,1569,0.0347,,,
MBA Presence,8,1568,0.0116,,,
MBA Presence,9,1576,0.0109,ν(C=C)ring,MBA,✓
MBA Presence,10,852,0.0069,,,
MBA Presence,11,853,0.0068,,,
MBA Presence,12,576,0.0068,ν(S–S)+ν(C–S–S),Thiram,other
MBA Presence,13,844,0.0061,,,
MBA Presence,14,851,0.0054,,,
MBA Presence,15,850,0.0052,,,
MBA Presence,16,1567,0.0049,,,
MBA Presence,17,849,0.0039,,,
MBA Presence,18,515,0.0037,,,
MBA Presence,19,1024,0.0036,,,
MBA Presence,20,831,0.0035,,,
MG Molar Grade,1,1212,0.0163,,,
MG Molar Grade,2,1213,0.0141,,,
MG Molar Grade,3,1214,0.0114,,,
MG Molar Grade,4,736,0.0090,,,
MG Molar Grade,5,1211,0.0087,,,
MG Molar Grade,6,1210,0.0077,,,
MG Molar Grade,7,1215,0.0075,,,
MG Molar Grade,8,1759,0.0064,,,
MG Molar Grade,9,1245,0.0060,,,
MG Molar Grade,10,738,0.0060,,,
MG Molar Grade,11,1205,0.0057,,,
MG Molar Grade,12,1206,0.0051,,,
MG Molar Grade,13,737,0.0050,,,
MG Molar Grade,14,1204,0.0049,,,
MG Molar Grade,15,735,0.0045,,,
MG Molar Grade,16,1171,0.0044,δ(C–H)i.p.,MG,✓
MG Molar Grade,17,1185,0.0044,δ(C–H)i.p.,MG,✓
MG Molar Grade,18,880,0.0043,,,
MG Molar Grade,19,881,0.0042,,,
MG Molar Grade,20,1169,0.0040,ν(N–C)+ρ(CH₃),Thiram,other
