Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0,0.908461388834857,0.9009160305343512,0.9281767955801103,50.53675473481417,0.0026172697544097
P1_thiram_presence,Thiram Presence,1D-CNN,p1,1,0.9289772727272728,0.9235083346315625,0.9444444444444444,66.87849362194538,0.0054654255509376
P1_thiram_presence,Thiram Presence,1D-CNN,p1,2,0.9213505461767626,0.9084615384615384,0.9388888888888888,45.012533999979496,0.0785607099533081
P1_thiram_presence,Thiram Presence,1D-CNN,p1,3,0.904170363797693,0.9299879807692308,0.9166666666666666,34.203752823174,0.0085150003433227
P1_thiram_presence,Thiram Presence,1D-CNN,p1,4,0.9793570090599794,0.9823076923076924,0.9833333333333332,68.39869371801615,0.0728648826479911
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0,0.9128034093014638,0.925648854961832,0.9281767955801103,36.30121193826199,0.0152313411235809
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,1,0.9356504468718968,0.9273251285246924,0.95,29.176643535494804,0.01050216704607
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,2,0.926995457495133,0.906153846153846,0.9444444444444444,26.49735463410616,0.086283303797245
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,3,0.9401573639688228,0.947716346153846,0.95,36.008280754089355,0.0053769350051879
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,4,0.9642502482621648,0.95,0.9722222222222222,58.57387140393257,0.006250150501728
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.9500492805046324,0.9361832061068702,0.9613259668508288,51.6868244856596,0.0097077265381813
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.9485273091221048,0.9285714285714286,0.9611111111111112,35.49434205889702,0.0108636543154716
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.9573863636363636,0.946153846153846,0.9666666666666668,43.09694134443998,0.0124513506889343
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.959435096153846,0.959435096153846,0.9666666666666668,41.89817874878645,0.0062299668788909
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.956806910894257,0.94,0.9666666666666668,51.49528659880161,0.0050192177295684
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0,0.8759849263446386,0.8400000000000001,0.9116022099447514,45.8035104945302,0.0689465627074241
