Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0,0.6060030045681699,0.722824427480916,0.6077348066298343,19.94593601673841,0.0034433379769325
P1_thiram_presence,Thiram Presence,1D-CNN,raw,1,0.714700832122573,0.7784701666926312,0.7333333333333333,35.89557734876871,0.0855789110064506
P1_thiram_presence,Thiram Presence,1D-CNN,raw,2,0.7416621104428649,0.783076923076923,0.7666666666666667,36.81109411269426,0.0038998797535896
P1_thiram_presence,Thiram Presence,1D-CNN,raw,3,0.5496525096525097,0.68359375,0.55,18.18401711434126,0.0030155628919601
P1_thiram_presence,Thiram Presence,1D-CNN,raw,4,0.8319443964175801,0.8776923076923077,0.85,63.904893428087234,0.0236763656139373
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,0,0.6971685971685971,0.7644274809160305,0.712707182320442,30.87124189734459,0.0178457349538803
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,1,0.6511177154671146,0.7198940644960274,0.6666666666666666,28.495080552995205,0.0687389448285102
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,2,0.7826086956521738,0.756923076923077,0.8444444444444444,58.71687547117472,0.0738115087151527
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,3,0.8913930789707187,0.916466346153846,0.9055555555555556,59.99305333197117,0.0047054886817932
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,4,0.6889952153110048,0.7384615384615385,0.7111111111111111,27.89176195859909,0.0068970844149589
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0,0.6450980392156862,0.6374809160305344,0.7348066298342542,27.786079049110413,0.0080078095197677
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,1,0.8553571428571429,0.8163265306122449,0.9,107.91784112155436,0.0696860328316688
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,2,0.6459096459096458,0.6784615384615384,0.6777777777777778,31.41501994431019,0.0699462667107582
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,3,0.5851094060812732,0.6463341346153846,0.5944444444444444,25.206167221069336,0.0113343074917793
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,4,0.5934666623023797,0.6361538461538462,0.6166666666666667,33.29125951975584,0.0069580599665641
