Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0.842731319889307,0.078652143811776,0.8372497825299812,0.0781356529454507,0.8385136523781561,0.080050804360419,487.9219161719084,97.58438323438168,0.2483659833669662
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,raw,0.9459238001785412,0.0162981800396699,0.942457980264592,0.0169422390705266,0.9446473135642982,0.0165219578310845,553.665079370141,110.7330158740282,0.1847321540117263
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,0.8587271742868257,0.0410183236792127,0.8567987921973023,0.040621251242864,0.8570915296535526,0.0401569389789471,498.3823527470231,99.67647054940464,0.2272062972187996
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,0.8831578427936171,0.0265398599987077,0.8784158784405875,0.0273360506930913,0.8784644744568408,0.0279035617289618,351.4499444514513,70.28998889029026,0.1130651086568832
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,0.6364864524440363,0.0707905345260806,0.6430545017025151,0.0486041242081789,0.6481971153846153,0.0414363743410074,201.47297996282575,40.29459599256516,0.2217701375484466
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,0.6960202998083371,0.0365900840429329,0.6903272752977287,0.0380746131059053,0.6914182692307692,0.0358329937902471,200.78305869549516,40.15661173909903,0.1945453062653541
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,0.5899272260342862,0.084202637292952,0.6090808633472015,0.0569559481773725,0.620625,0.050702466480917,165.9221492409706,33.18442984819412,0.1071958094835281
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,0.47184803972934,0.044646333473523,0.5165573528025182,0.0514749243511466,0.5295192307692307,0.0585706377000602,102.06660240888596,20.41332048177719,0.2116045281291008
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0.3774569444992329,0.0321841415388386,0.4230539364487259,0.0213132244728135,0.4229251148959178,0.0194705016796042,70.59785489737988,14.119570979475975,0.0205344557762146
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,0.6750592418431387,0.2038268703352344,0.6963877145339186,0.16252382287104,0.6968477967018113,0.1591810139381694,155.5772536173463,31.11545072346926,0.1844519823789596
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,0.3411979011106814,0.0659907062902437,0.4026545043693249,0.0460059759643798,0.3993511759935117,0.0472162975706052,87.61843398213387,17.523686796426773,0.0879623368382453
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,0.6925813185427583,0.0865108826731867,0.711031457067212,0.0688864121535213,0.7089375506893755,0.0714337175287169,165.91294959932566,33.18258991986513,0.1499220952391624
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0.6887925706407395,0.111996585101327,0.7691315149885556,0.0733624327015294,0.7015469613259668,0.1215076705567074,174.74151802062988,34.948303604125975,0.1196140572428703
