Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0,0.9107393497970486,0.9132824427480916,0.9281767955801103,34.40334061533213,0.0067375674843788
P1_thiram_presence,Thiram Presence,1D-CNN,p1,1,0.929895622371086,0.929895622371086,0.9444444444444444,61.49297683686018,0.0104837268590927
P1_thiram_presence,Thiram Presence,1D-CNN,p1,2,0.9524007404329268,0.9607692307692308,0.9611111111111112,53.29282566159964,0.0772369056940078
P1_thiram_presence,Thiram Presence,1D-CNN,p1,3,0.9290602271505858,0.9513221153846154,0.9388888888888888,49.92636065930128,0.0673616603016853
P1_thiram_presence,Thiram Presence,1D-CNN,p1,4,0.9723076923076924,0.9723076923076924,0.9777777777777776,82.41853986680508,0.0776517838239669
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0,0.9300401978973408,0.9247328244274808,0.9447513812154696,83.42302240431309,0.0646998360753059
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,1,0.8154729360306179,0.8727216077270603,0.8333333333333334,41.7423035427928,0.0548795312643051
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,2,0.9356504468718968,0.9223076923076924,0.95,34.4109975323081,0.0806153863668441
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,3,0.9105470392599104,0.9035456730769232,0.9277777777777778,31.111111365258694,0.0047353059053421
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,4,0.9589603283173734,0.9646153846153848,0.9666666666666668,49.89563326537609,0.0051767751574516
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.881233595800525,0.9003816793893129,0.9005524861878453,33.18898956477642,0.0059295892715454
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.9485273091221048,0.9285714285714286,0.9611111111111112,39.976777002215385,0.0061845555901527
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.9788326604209948,0.97,0.9833333333333332,39.49099067598581,0.0204573422670364
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.9663865546218486,0.9690504807692308,0.9722222222222222,55.71499836444855,0.0765366479754448
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.9642502482621648,0.95,0.9722222222222222,40.59815871715546,0.0061206743121147
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0,0.8832745343499867,0.885648854961832,0.9060773480662984,74.71948087215424,0.0646204277873039
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,1,0.8952727272727272,0.9261567222308772,0.9111111111111112,86.90408030897379,0.004827082157135
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,2,0.9191143429061644,0.8961538461538462,0.9388888888888888,54.68935652077198,0.0057023167610168
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,3,0.8903658055963599,0.9107572115384616,0.9055555555555556,49.491313353180885,0.0057653859257698
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,4,0.9191143429061644,0.8961538461538462,0.9388888888888888,60.79911229014397,0.0104221254587173
P2_mg_presence,MG Presence,1D-CNN,p1,0,0.91256038647343,0.8883107088989441,0.9337016574585636,65.92029923945665,0.0891285762190818
P2_mg_presence,MG Presence,1D-CNN,p1,1,0.90975935828877,0.88,0.9333333333333332,49.989805303514,0.009118765592575
P2_mg_presence,MG Presence,1D-CNN,p1,2,0.943181818181818,0.9230769230769232,0.9555555555555556,68.80140852183104,0.0727125480771064
