Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0,0.7336420085424069,0.750763358778626,0.7734806629834254,46.15253380686045,0.0100560262799263
P1_thiram_presence,Thiram Presence,1D-CNN,raw,1,0.5499861106824284,0.6908396946564885,0.55,25.80366095155477,0.00670076161623
P1_thiram_presence,Thiram Presence,1D-CNN,raw,2,0.6709753231492361,0.7292307692307691,0.6888888888888889,46.40065439045429,0.0030402094125747
P1_thiram_presence,Thiram Presence,1D-CNN,raw,3,0.6773780565868647,0.7412860576923077,0.6888888888888889,40.29105702787638,0.0114284679293632
P1_thiram_presence,Thiram Presence,1D-CNN,raw,4,0.7861144118146325,0.763076923076923,0.8444444444444444,85.60207309573889,0.0101742669939994
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,0,0.6149767241113544,0.7180916030534351,0.6187845303867403,34.80896347761154,0.0764695405960083
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,1,0.9029810522824328,0.8801215142545568,0.9277777777777778,108.11540036648512,0.0836281776428222
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,2,0.7631163361993332,0.736923076923077,0.8333333333333334,59.10968331992626,0.0752356052398681
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,3,0.7632718524458701,0.83984375,0.7722222222222223,53.89681719243527,0.0106823518872261
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,4,0.8530612244897959,0.8869230769230769,0.8722222222222222,65.80319484323263,0.07764433324337
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0,0.8405394415830849,0.8945801526717557,0.856353591160221,152.19843718409538,0.0103034004569053
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,1,0.9153370237707588,0.950381679389313,0.9277777777777778,167.53211863338947,0.0737969651818275
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,2,0.8613251155624038,0.9030769230769232,0.8777777777777778,114.39022412151098,0.0081407278776168
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,3,0.7028133667943468,0.7475961538461539,0.7222222222222222,51.71243926137686,0.0677733123302459
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,4,0.8232142857142857,0.7861538461538462,0.8777777777777778,142.40000527352095,0.0104268938302993
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,0,0.8119953090970011,0.8693129770992366,0.8287292817679558,92.18392950296402,0.0080444142222404
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,1,0.5827022348613644,0.7137404580152672,0.5833333333333334,37.293193735182285,0.010522074997425
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,2,0.5388746566252045,0.6746153846153846,0.5388888888888889,35.37977919727564,0.0100820213556289
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,3,0.67375,0.7677283653846154,0.6777777777777778,43.29172997921705,0.0040607303380966
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,4,0.60625,0.7,0.6111111111111112,31.197641238570213,0.0752384960651397
P2_mg_presence,MG Presence,1D-CNN,raw,0,0.8399174528301887,0.8481146304675717,0.8674033149171271,54.511688366532326,0.0794198364019393
