Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0,0.8949071001990709,0.8661832061068702,0.9226519337016574,14.414048485457895,0.1228221803903579
P1_thiram_presence,Thiram Presence,1D-CNN,p1,1,0.9356504468718968,0.9273251285246924,0.95,21.182180613279343,0.1166399791836738
P1_thiram_presence,Thiram Presence,1D-CNN,p1,2,0.9259259259259258,0.9,0.9444444444444444,12.962808050215244,0.0038682371377944
P1_thiram_presence,Thiram Presence,1D-CNN,p1,3,0.9459134615384616,0.9459134615384616,0.9555555555555556,21.17803806811571,0.0032238215208053
P1_thiram_presence,Thiram Presence,1D-CNN,p1,4,0.9259259259259258,0.9,0.9444444444444444,19.70064914226532,0.0046994090080261
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0,0.9460345855694692,0.9570992366412214,0.9558011049723756,8.070955716073513,0.043676234781742
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,1,0.9179206566347468,0.9286493223243496,0.9333333333333332,10.094218403100967,0.0981597602367401
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,2,0.9573863636363636,0.946153846153846,0.9666666666666668,10.961131900548937,0.0157829970121383
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,3,0.9002622732813712,0.9071514423076924,0.9166666666666666,9.073532551527023,0.0108186081051826
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,4,0.8603671825939196,0.8761538461538462,0.8833333333333333,10.596249870955944,0.0081030130386352
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0,0.8114059460961378,0.8483969465648855,0.8342541436464088,9.691901303827764,0.0049269571900367
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,1,0.9485273091221048,0.9285714285714286,0.9611111111111112,15.290954798460008,0.004735380411148
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,2,0.9083636363636364,0.9338461538461538,0.9222222222222224,12.069827854633331,0.007409431040287
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,3,0.9603174603174602,0.9708533653846154,0.9666666666666668,16.923933520913124,0.0649690628051757
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,4,0.9459134615384616,0.956923076923077,0.9555555555555556,10.814924508333206,0.0055860430002212
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0,0.9357776463630988,0.9223664122137404,0.9502762430939228,21.7703994512558,0.0113362595438957
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,1,0.9188701923076924,0.935036610063873,0.9333333333333332,19.68156763166189,0.0058543011546134
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,2,0.9364979812629846,0.9284615384615384,0.95,25.398245319724083,0.0104485899209976
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,3,0.9206349206349206,0.9302884615384616,0.9333333333333332,22.21593728661537,0.0053594708442687
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,4,0.9289772727272728,0.9184615384615384,0.9444444444444444,21.488050684332848,0.0786141827702522
P2_mg_presence,MG Presence,1D-CNN,p1,0,0.8074468085106383,0.7706636500754148,0.8674033149171271,22.204379104077816,0.0861706882715225
P2_mg_presence,MG Presence,1D-CNN,p1,1,0.8930572059073163,0.86,0.9222222222222224,28.2071879953146,0.087949588894844
P2_mg_presence,MG Presence,1D-CNN,p1,2,0.8796791443850267,0.8461538461538461,0.9111111111111112,26.40989620983601,0.0104013830423355
P2_mg_presence,MG Presence,1D-CNN,p1,3,0.7934927263549172,0.7561538461538462,0.8611111111111112,24.59252867102623,0.0789973214268684
P2_mg_presence,MG Presence,1D-CNN,p1,4,0.9094392197840474,0.9069230769230768,0.9277777777777778,22.614530503749847,0.0095464587211608
P2_mg_presence,MG Presence,1D-ResNet,p1,0,0.908461388834857,0.8963800904977375,0.9281767955801103,14.289808571338654,0.0075243860483169
P2_mg_presence,MG Presence,1D-ResNet,p1,1,0.9259259259259258,0.9,0.9444444444444444,13.392867110669613,0.0701195076107978
