Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0.9287708027839132,0.0340959612701545,0.9270821794375764,0.0367045485042307,0.9274721080446272,0.0349985904672875,136.9269406720996,27.38538813441992,0.1533286049962043
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,0.9777926289195988,0.0100390336445873,0.9778166677998704,0.009899315548501,0.978531451849677,0.0098801104088477,78.54794657230377,15.709589314460754,0.2566872015595436
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,0.8886054360896833,0.0185530358857249,0.8842184798960933,0.0199101058723414,0.8891637918379331,0.018151074942629,119.2234805598855,23.8446961119771,0.2331519573926925
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0.978530723170006,0.016690290032663,0.978221678502364,0.0169506693687021,0.9784123605402232,0.0167125682577772,112.41542423516512,22.483084847033023,0.0415984094142913
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0.6492696167258554,0.0444993764182058,0.669150068292973,0.0358194776281314,0.6665384615384615,0.0361722539063122,49.32378605008125,9.86475721001625,0.1780981793999672
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,0.7457288821560869,0.0381210719751919,0.7493845788514755,0.0389897369232993,0.7485336538461539,0.0365084406655486,39.15170139819384,7.830340279638767,0.1032946333289146
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,p1,0.5628113253759439,0.2220412400155579,0.6062808285820502,0.1534383806055577,0.604110576923077,0.1510315801654922,53.53315768390894,10.706631536781789,0.1129347011446952
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0.4671500205949065,0.128088785931834,0.5111664696894518,0.0985732259624679,0.5107211538461539,0.0977114821620354,26.75066191703081,5.350132383406162,0.1078768968582153
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,p1,0.1668406996421559,0.0037102873811787,0.3333333333333333,0.0,0.3303919978372533,0.0083368028942342,23.02222673594952,4.604445347189904,0.1709673628211021
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,p1,0.222686983938217,0.0265447266015056,0.3627832078792645,0.0144197608232117,0.3597620978642876,0.0176231676326057,28.48787578195333,5.697575156390667,0.298907145857811
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,p1,0.1655455344505731,0.0031303753693652,0.3333333333333333,0.0,0.3303919978372533,0.0083368028942342,26.640578366816044,5.328115673363209,0.1081962212920188
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,p1,0.6143375294059528,0.1385272565932071,0.6253090985582433,0.1347285845358968,0.6238118410381184,0.1358807710240048,32.09974589943886,6.419949179887771,0.0988746508955955
P1_thiram_presence,Thiram Presence,1D-CNN,p1,0.9256645720922562,0.0190780889231084,0.9078843592340048,0.030362265008934,0.9434192756292205,0.0124897923984975,89.43772435933352,17.8875448718667,0.2512536272406578
P1_thiram_presence,Thiram Presence,1D-ResNet,p1,0.9163942123431742,0.0386021558505178,0.9230415387161912,0.0323129372610011,0.9311602209944752,0.0330532810970656,48.79608844220638,9.759217688441275,0.1765406131744384
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,0.9281516026591936,0.0082332465680313,0.9269229121478304,0.0065552064005499,0.9422774708410068,0.0084898289187099,110.55420037359,22.110840074718,0.1116128042340278
P1_thiram_presence,Thiram Presence,Spectrum-KAN,p1,0.91490556268756,0.0610514526964841,0.927718194258032,0.0475492071245761,0.9279619398403928,0.0551643600722821,64.79154198616743,12.958308397233486,0.0876268744468689
P2_mg_presence,MG Presence,1D-CNN,p1,0.8566230209883893,0.0525650061499471,0.8279788838612369,0.0633082514702596,0.8979251074278698,0.0313936798988419,124.0285224840045,24.8057044968009,0.2730654403567314
P2_mg_presence,MG Presence,1D-ResNet,p1,0.9193818435469064,0.0192487609724808,0.9016365950226244,0.0231699029015765,0.9378575813382444,0.0148411244941841,68.52954144775867,13.705908289551736,0.2188460081815719
P2_mg_presence,MG Presence,KAN-CNN,p1,0.8392400893989876,0.0892837828436558,0.8124450414781297,0.0946563971774058,0.8889686924493555,0.0535044745244363,115.90864853560925,23.18172970712185,0.1912665069103241
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0.9177197701805426,0.0237700789376992,0.930395597662142,0.0167676359482337,0.9312154696132596,0.0215779824580217,93.7933320775628,18.75866641551256,0.1771453395485878
P3_mba_presence,MBA Presence,1D-CNN,p1,0.9306278306176694,0.0233118868895422,0.9152809427380808,0.0330043077792265,0.9511724984653162,0.0153834339616956,100.07205142080784,20.014410284161567,0.1119959503412246
P3_mba_presence,MBA Presence,1D-ResNet,p1,0.9139204737063724,0.0359709430436119,0.8894306329291901,0.0455184588820347,0.9411724984653164,0.0231188455725037,91.0831279233098,18.21662558466196,0.1819322854280471
P3_mba_presence,MBA Presence,KAN-CNN,p1,0.9170103315551504,0.0321331235369381,0.8987873243839972,0.0413304336155074,0.9423204419889504,0.0200724375097648,123.23618087917566,24.647236175835133,0.2407894656062126
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0.9392856716213076,0.0495600116860338,0.9529954698915828,0.0329461005195959,0.9523511356660528,0.0410447494457692,89.48724403232336,17.897448806464674,0.1243275851011276
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,p1,0.9865091021840995,0.0030957940608325094,0.98589000964287,0.0033341522185387647,0.9861410011743981,0.0034825449127603267,33.45789720118046,6.691579440236092,0.025716938078403473
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,0.5795795064978033,0.04136198518932697,0.58962260579842,0.03864129981785624,0.5909375,0.03879844181746246,9.858000949025154,1.9716001898050308,0.013805888593196869
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,0.8713857057205182,0.041418381349058134,0.87086176612412,0.04294563668313516,0.870581238172479,0.042564656389560036,17.71799872070551,3.543599744141102,0.25491779297590256
P1_thiram_presence,Thiram Presence,RamanNet-Lite,p1,0.9668357144028302,0.0182312472626811,0.9667278639435809,0.018653449241302137,0.9733640270104358,0.014904417885886055,25.54329727590084,5.1086594551801685,0.2752845510840416
P2_mg_presence,MG Presence,RamanNet-Lite,p1,0.9527330119194282,0.019594044776708404,0.9494013009049773,0.022672998720390337,0.9622713321055862,0.015389862956985904,51.50234670937061,10.300469341874123,0.1798085793852806
P3_mba_presence,MBA Presence,RamanNet-Lite,p1,0.9030994519587578,0.04554268399152942,0.9350358676449323,0.03880246700985497,0.9222467771639042,0.03792886247276515,13.706993728876114,2.7413987457752227,0.18040905892848969
