variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent
raw,K4,Thiram_1382,1382,21,58284.13547237071,7600.079189900068,13.039704764091157
raw,K4,MG_1616,1616,21,64781.377437969095,184.43842253277336,0.28470901642895896
raw,K4,MBA_1080,1080,21,19010.449675432366,4974.364712544793,26.166475793433108
raw,K4m4,Thiram_1382,1382,14,46234.55252100838,8524.475999600443,18.437457561046
raw,K4m4,MG_1616,1616,14,47625.03250401285,8762.67014279475,18.39929482894613
raw,K4m4,MBA_1080,1080,14,26429.32604832978,5122.90079982303,19.38339551472133
raw,K4m5,Thiram_1382,1382,12,45565.617647058796,6796.5877629793285,14.916044407922207
raw,K4m5,MG_1616,1616,12,48661.09199438203,7204.427703817067,14.805314489549112
raw,K4m5,MBA_1080,1080,12,21736.785065298507,3506.2230433278933,16.13036625607239
raw,K4m6,Thiram_1382,1382,14,20480.80462184872,2109.4620318212346,10.299702920708892
raw,K4m6,MG_1616,1616,14,22024.265850722313,2536.9460687128403,11.518867806572713
raw,K4m6,MBA_1080,1080,14,10610.492434257287,856.9841129062468,8.076760981793528
raw,K5,Thiram_1382,1382,27,1652.9705882352935,669.6248290178007,40.51038982688072
raw,K5,MG_1616,1616,27,1739.143074183341,820.7185375158991,47.19097293943389
raw,K5,MBA_1080,1080,27,1010.0219882071125,306.46828858561173,30.34273433290525
raw,K5m4,Thiram_1382,1382,14,2202.6140610015764,206.72433972923363,9.385409064138617
raw,K5m4,MG_1616,1616,14,1524.249598715891,145.63963544521252,9.554841645876575
raw,K5m4,MBA_1080,1080,14,7870.982942430696,863.9550745969104,10.97645720891508
raw,K5m5,Thiram_1382,1382,14,1417.2257346845902,152.725673245354,10.77638300713921
raw,K5m5,MG_1616,1616,14,1115.7534109149278,98.6234283014929,8.83917784491654
raw,K5m5,MBA_1080,1080,14,1454.3155650319823,157.8784371804321,10.855858314145193
raw,K5m6,Thiram_1382,1382,16,1377.8170120320865,113.91688137752925,8.26792530377585
raw,K5m6,MG_1616,1616,16,1104.7176740709938,80.35368946343013,7.27368551707142
raw,K5m6,MBA_1080,1080,16,1169.6283255597014,80.45487735587055,6.878670394492245
raw,K6,Thiram_1382,1382,14,5244.525210084032,1701.1276318872544,32.43625616702866
raw,K6,MG_1616,1616,14,5169.1676347552375,1743.9371321274805,33.73729109503056
raw,K6,MBA_1080,1080,14,4211.305302949538,1258.2515586669133,29.877946815816276
raw,K6m4,Thiram_1382,1382,15,2589.850267379678,217.21087350911108,8.387005080756179
raw,K6m4,MG_1616,1616,15,2234.241198501873,197.95978401755454,8.860269166565034
raw,K6m4,MBA_1080,1080,15,8068.764510779429,664.7068947663138,8.23802570862369
raw,K6m5,Thiram_1382,1382,15,1123.458950582168,127.52162725678299,11.350804334301866
raw,K6m5,MG_1616,1616,15,801.8540058167514,76.37093702086399,9.524294505840148
raw,K6m5,MBA_1080,1080,15,1534.1620232172465,161.88500274849204,10.552014734989184
raw,K6m6,Thiram_1382,1382,14,1238.5314069534982,126.3234316639562,10.199453235883839
raw,K6m6,MG_1616,1616,14,930.3238508478527,68.13507616605821,7.323801932409147
raw,K6m6,MBA_1080,1080,14,1151.5657729211089,110.8116162224839,9.62269102019198
raw,m4,Thiram_1382,1382,20,3148.12493315508,1288.1788964188472,40.918925511886286
