Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,0,0.7624830810877322,0.7609231853417899,0.7615384615384615,10.145320229232311,0.08351277559995651
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,1,0.792982456140351,0.7938066963549398,0.7923076923076923,8.196403078734875,0.005837671458721161
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,2,0.7604886863607794,0.7568475452196383,0.7578125,8.291476383805275,0.004854172468185425
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,3,0.7786317258713309,0.777678682026508,0.7769230769230769,9.107477732002735,0.010606721043586731
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,p1,4,0.738274044795784,0.7375749363554243,0.7384615384615385,9.707042515277863,0.002242572605609894
G2_mg_molar_grade,MG Positive Molar Grade,PatchTransformer,p1,0,0.6018119674892476,0.6210359408033826,0.6230769230769231,17.70428866147995,0.0888182669878006
G2_mg_molar_grade,MG Positive Molar Grade,PatchTransformer,p1,1,0.7465632406808878,0.7538924624773214,0.7461538461538462,27.900662317872047,0.010108135640621185
G2_mg_molar_grade,MG Positive Molar Grade,PatchTransformer,p1,2,0.5019104242639555,0.5328811369509044,0.53125,18.19710858911276,0.08097539842128754
G2_mg_molar_grade,MG Positive Molar Grade,PatchTransformer,p1,3,0.672719997089745,0.6858664684751642,0.6846153846153846,22.503151446580887,0.015489675104618073
G2_mg_molar_grade,MG Positive Molar Grade,PatchTransformer,p1,4,0.7399595827726957,0.7384659604171798,0.7384615384615385,21.016563594341278,0.002043813467025757
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,0,0.9271203772283244,0.9273752012882448,0.927007299270073,11.604404769837856,0.0017821863293647766
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,1,0.9054570660208912,0.9051624608279729,0.9051094890510949,12.399964183568954,0.001832820475101471
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,2,0.9420015760441292,0.942645698427382,0.9416058394160584,11.416431076824665,0.0015011504292488098
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,3,0.8794619913953864,0.8822866344605474,0.8814814814814815,12.306800372898579,0.08318396657705307
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,p1,4,0.896750109793588,0.8962962962962964,0.8962962962962963,12.295397028326988,0.0016015097498893738
G3_mba_molar_grade,MBA Positive Molar Grade,PatchTransformer,p1,0,0.8855078211059704,0.8832528180354267,0.8832116788321168,29.789297826588154,0.01093602180480957
G3_mba_molar_grade,MBA Positive Molar Grade,PatchTransformer,p1,1,0.8314369676888123,0.8283028203859475,0.8321167883211679,24.78052505850792,0.002279028296470642
G3_mba_molar_grade,MBA Positive Molar Grade,PatchTransformer,p1,2,0.8559154766051318,0.8548341883216999,0.8540145985401459,27.89998224377632,0.002444066107273102
G3_mba_molar_grade,MBA Positive Molar Grade,PatchTransformer,p1,3,0.7608005126654441,0.755475040257649,0.7555555555555555,24.817599527537823,0.07945966720581055
G3_mba_molar_grade,MBA Positive Molar Grade,PatchTransformer,p1,4,0.8174245805899639,0.8148148148148149,0.8148148148148148,29.531872168183327,0.058644168078899384
