run_id,task,task_name,retention_pct,n_features,macro_f1_mean,macro_f1_std
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,1,15,0.8683283792880383,0.012340176179331409
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,2,29,0.8793181782381619,0.009946520873504002
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,3,43,0.8993628626618337,0.01901601985198668
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,71,0.951082351011085,0.02111172705105341
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,10,141,0.9863819331557255,0.010707887215290205
shap_feature_selection_extratrees_p1_20260529_182607,P2_mg_presence,MG Presence,1,15,0.7974849753077348,0.015623885692449897
shap_feature_selection_extratrees_p1_20260529_182607,P2_mg_presence,MG Presence,2,29,0.7983614825064251,0.020112586166764108
shap_feature_selection_extratrees_p1_20260529_182607,P2_mg_presence,MG Presence,3,43,0.8314926299509416,0.013584271131051054
shap_feature_selection_extratrees_p1_20260529_182607,P2_mg_presence,MG Presence,5,71,0.8905739749312589,0.023115940358071158
shap_feature_selection_extratrees_p1_20260529_182607,P2_mg_presence,MG Presence,10,141,0.9692778683247945,0.009932516979866966
shap_feature_selection_extratrees_p1_20260529_182607,P3_mba_presence,MBA Presence,1,15,0.9099101910006814,0.01171545972662408
shap_feature_selection_extratrees_p1_20260529_182607,P3_mba_presence,MBA Presence,2,29,0.9382371434546697,0.012818986813377405
shap_feature_selection_extratrees_p1_20260529_182607,P3_mba_presence,MBA Presence,3,43,0.9441772186825403,0.0065690986494169835
shap_feature_selection_extratrees_p1_20260529_182607,P3_mba_presence,MBA Presence,5,71,0.9728239541512476,0.0068179077953695625
shap_feature_selection_extratrees_p1_20260529_182607,P3_mba_presence,MBA Presence,10,141,0.9817127352216785,0.008927197358065795
shap_feature_selection_extratrees_p1_20260529_182607,G1_thiram_molar_grade,Thiram Positive Molar Grade,1,15,0.9317996574552397,0.020987899171375255
shap_feature_selection_extratrees_p1_20260529_182607,G1_thiram_molar_grade,Thiram Positive Molar Grade,2,29,0.9446647091381642,0.02053504408292582
shap_feature_selection_extratrees_p1_20260529_182607,G1_thiram_molar_grade,Thiram Positive Molar Grade,3,43,0.949617058254843,0.01738440633483481
shap_feature_selection_extratrees_p1_20260529_182607,G1_thiram_molar_grade,Thiram Positive Molar Grade,5,71,0.9544103076955077,0.01660857163367684
shap_feature_selection_extratrees_p1_20260529_182607,G1_thiram_molar_grade,Thiram Positive Molar Grade,10,141,0.9793181901662414,0.014728389872398912
shap_feature_selection_extratrees_p1_20260529_182607,G2_mg_molar_grade,MG Positive Molar Grade,1,15,0.8129339563552158,0.03002276939574126
shap_feature_selection_extratrees_p1_20260529_182607,G2_mg_molar_grade,MG Positive Molar Grade,2,29,0.8398004003232385,0.016933944805249714
shap_feature_selection_extratrees_p1_20260529_182607,G2_mg_molar_grade,MG Positive Molar Grade,3,43,0.8878863098697805,0.016024400291855787
shap_feature_selection_extratrees_p1_20260529_182607,G2_mg_molar_grade,MG Positive Molar Grade,5,71,0.930246755146495,0.018153891346237787
shap_feature_selection_extratrees_p1_20260529_182607,G2_mg_molar_grade,MG Positive Molar Grade,10,141,0.9532519759117026,0.005865041766327162
shap_feature_selection_extratrees_p1_20260529_182607,G3_mba_molar_grade,MBA Positive Molar Grade,1,15,0.9499978550479943,0.011892492821003818
shap_feature_selection_extratrees_p1_20260529_182607,G3_mba_molar_grade,MBA Positive Molar Grade,2,29,0.9543613527512642,0.009545958130417892
shap_feature_selection_extratrees_p1_20260529_182607,G3_mba_molar_grade,MBA Positive Molar Grade,3,43,0.9602664921948953,0.008568342548180015
shap_feature_selection_extratrees_p1_20260529_182607,G3_mba_molar_grade,MBA Positive Molar Grade,5,71,0.9690599825725201,0.011023425543378184
shap_feature_selection_extratrees_p1_20260529_182607,G3_mba_molar_grade,MBA Positive Molar Grade,10,141,0.9735897081052176,0.012126679554698202
