run_id,task,task_name,retention_pct,n_features,macro_f1_mean,macro_f1_std
shap_feature_selection_extratrees_p1_20260526_234153,P1_thiram_presence,Thiram Presence,10,141,0.9863819331557255,0.010707887215290205
shap_feature_selection_extratrees_p1_20260526_234153,P1_thiram_presence,Thiram Presence,30,421,0.9944956908693363,0.0030785177773761095
shap_feature_selection_extratrees_p1_20260526_234153,P2_mg_presence,MG Presence,10,141,0.9692778683247945,0.009932516979866966
shap_feature_selection_extratrees_p1_20260526_234153,P2_mg_presence,MG Presence,30,421,0.9770690593117266,0.013847916597697777
shap_feature_selection_extratrees_p1_20260526_234153,P3_mba_presence,MBA Presence,10,141,0.9817127352216785,0.008927197358065795
shap_feature_selection_extratrees_p1_20260526_234153,P3_mba_presence,MBA Presence,30,421,0.983013842368641,0.014332167455645318
shap_feature_selection_extratrees_p1_20260526_234153,G2_mg_molar_grade,MG Positive Molar Grade,10,141,0.9532519759117026,0.005865041766327162
shap_feature_selection_extratrees_p1_20260526_234153,G2_mg_molar_grade,MG Positive Molar Grade,30,421,0.9610983403122478,0.00555979065903251
shap_feature_selection_extratrees_p1_20260526_234153,G3_mba_molar_grade,MBA Positive Molar Grade,10,141,0.9735897081052176,0.012126679554698202
shap_feature_selection_extratrees_p1_20260526_234153,G3_mba_molar_grade,MBA Positive Molar Grade,30,421,0.9793070437418334,0.0033784005868312565
