run_id,task,task_name,retention_pct,n_features,macro_f1_mean,macro_f1_std
shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85,0.9757192030410398,0.015421576151416556
shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99,0.9823480853983544,0.011252714981512306
shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113,0.9850804369334654,0.011988444085365896
shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127,0.9863819331557255,0.010707887215290205
shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85,0.9513900293339101,0.01598407006850665
shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99,0.9639556928609634,0.0058847840748399655
shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113,0.9653469332386774,0.007170814363893116
shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127,0.967989685779987,0.009654529441943296
shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85,0.9741956554063412,0.009162825608300805
shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99,0.9756879511430588,0.011629732190033317
shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113,0.9758397979489268,0.009954543526282354
shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127,0.9802237693452087,0.008915047280444868
shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,6,85,0.958026579494725,0.019763700829194833
shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,7,99,0.964347897467926,0.01775057822065098
shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,8,113,0.967551462401724,0.021081311242267406
shap_feature_selection_extratrees_p1_20260529_183134,G1_thiram_molar_grade,Thiram Positive Molar Grade,9,127,0.9709189627473584,0.017085721901721952
shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,6,85,0.9484921876686684,0.004632959181362013
shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,7,99,0.9469613329520479,0.008712537398616483
shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,8,113,0.9533068866790604,0.005865836808139916
shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127,0.956366745561634,0.009146747239516166
shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85,0.9690792028897374,0.006232703995467896
shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99,0.9691075247388106,0.013165915138741343
shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113,0.9734892570017945,0.011184940305632376
shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127,0.9749603701270383,0.011201350190765725
