fold_id,n_train,n_test,macro_f1,run_id,task,task_name,retention_pct,n_features
0,720,181,0.9726998491704375,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85
1,721,180,1.0,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85
2,721,180,0.9793570090599794,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85
3,721,180,0.9671040608209365,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85
4,721,180,0.9594350961538461,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,6,85
0,720,181,0.9794013884147035,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99
1,721,180,1.0,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99
2,721,180,0.9861538461538462,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99
3,721,180,0.9735449735449735,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99
4,721,180,0.972640218878249,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,7,99
0,720,181,0.9861832061068703,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113
1,721,180,1.0,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113
2,721,180,0.9930337861372345,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113
3,721,180,0.9735449735449735,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113
4,721,180,0.972640218878249,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,8,113
0,720,181,0.9861832061068703,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127
1,721,180,1.0,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127
2,721,180,0.9930337861372345,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127
3,721,180,0.9800524546562742,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127
4,721,180,0.972640218878249,shap_feature_selection_extratrees_p1_20260529_183134,P1_thiram_presence,Thiram Presence,9,127
0,720,181,0.9477633477633478,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85
1,721,180,0.9534557275313066,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85
2,721,180,0.95441224356887,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85
3,721,180,0.9729567307692308,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85
4,721,180,0.9283620970367958,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,6,85
0,720,181,0.9668315924500641,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99
1,721,180,0.9663865546218486,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99
2,721,180,0.9671040608209365,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99
3,721,180,0.9660005288806619,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99
4,721,180,0.9534557275313066,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,7,99
0,720,181,0.9668315924500641,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113
1,721,180,0.9663865546218486,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113
2,721,180,0.9671040608209365,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113
3,721,180,0.9729567307692308,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113
4,721,180,0.9534557275313066,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,8,113
0,720,181,0.9668315924500641,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127
1,721,180,0.9729567307692308,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127
2,721,180,0.9671040608209365,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127
3,721,180,0.9796003173283971,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127
4,721,180,0.9534557275313066,shap_feature_selection_extratrees_p1_20260529_183134,P2_mg_presence,MG Presence,9,127
0,720,181,0.9773040752351098,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85
1,721,180,0.9608542473141664,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85
2,721,180,0.9849598930481284,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85
3,721,180,0.9699197860962567,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85
4,721,180,0.9779402753380448,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,6,85
0,720,181,0.9773040752351098,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99
1,721,180,0.9608542473141664,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99
2,721,180,0.9924213717317165,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99
3,721,180,0.9699197860962567,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99
4,721,180,0.9779402753380448,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,7,99
0,720,181,0.9699734571997346,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
1,721,180,0.968944099378882,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
2,721,180,0.9924213717317165,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
3,721,180,0.9699197860962567,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
4,721,180,0.9779402753380448,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,8,113
0,720,181,0.9773040752351098,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
1,721,180,0.968944099378882,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
2,721,180,0.9924213717317165,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
3,721,180,0.9772641151951498,shap_feature_selection_extratrees_p1_20260529_183134,P3_mba_presence,MBA Presence,9,127
