task,task_name,cluster_id,center_wavenumber,min_wavenumber,max_wavenumber,width,n_features,rank_min,rank_list,feature_wavenumbers,total_shap,matched_literature_peak
G1_thiram_molar_grade,Thiram Positive Molar Grade,1,465.00366527706973,464.0,466.0,2.0,2,13,13;14,464.0;466.0,0.005880996932016668,
G1_thiram_molar_grade,Thiram Positive Molar Grade,2,718.0,718.0,718.0,0.0,1,16,16,718.0,0.0028963325250143195,
G1_thiram_molar_grade,Thiram Positive Molar Grade,3,1138.936946443845,1134.0,1145.0,11.0,8,1,1;2;3;4;6;15;18;20,1134.0;1135.0;1136.0;1138.0;1140.0;1141.0;1142.0;1145.0,0.028218537453676022,"Thiram_1145(center=-6.1, nearest=+0.0)"
G1_thiram_molar_grade,Thiram Positive Molar Grade,4,1377.0,1377.0,1377.0,0.0,1,7,7,1377.0,0.0032372866554706446,"Thiram_1380(center=-3.0, nearest=-3.0)"
G1_thiram_molar_grade,Thiram Positive Molar Grade,5,1501.684751811151,1495.0,1508.0,13.0,8,5,5;8;9;10;11;12;17;19,1495.0;1498.0;1499.0;1500.0;1502.0;1503.0;1507.0;1508.0,0.0242183374684245,"Thiram_1510(center=-8.3, nearest=-2.0); MBA_1490(center=+11.7, nearest=+5.0)"
G2_mg_molar_grade,MG Positive Molar Grade,1,863.288667507863,860.0,866.0,6.0,3,1,1;4;14,860.0;865.0;866.0,0.007887544869574572,
G2_mg_molar_grade,MG Positive Molar Grade,2,1035.0,1035.0,1035.0,0.0,1,13,13,1035.0,0.002088940237184076,
G2_mg_molar_grade,MG Positive Molar Grade,3,1160.0256176241342,1159.0,1161.0,2.0,3,5,5;7;9,1159.0;1160.0;1161.0,0.007288596192801339,"Thiram_1145(center=+15.0, nearest=+14.0); MG_1172(center=-12.0, nearest=-11.0)"
G2_mg_molar_grade,MG Positive Molar Grade,4,1184.2338316727453,1180.0,1187.0,7.0,4,17,17;18;19;20,1180.0;1184.0;1186.0;1187.0,0.00773448086238462,"MG_1172(center=+12.2, nearest=+8.0)"
G2_mg_molar_grade,MG Positive Molar Grade,5,1210.9802803924658,1207.0,1216.0,9.0,7,2,2;3;6;10;11;15;16,1207.0;1208.0;1209.0;1211.0;1213.0;1214.0;1216.0,0.0168289172038465,"MG_1220(center=-9.0, nearest=-4.0)"
G2_mg_molar_grade,MG Positive Molar Grade,6,1423.0,1423.0,1423.0,0.0,1,8,8,1423.0,0.0022686304949126553,
G2_mg_molar_grade,MG Positive Molar Grade,7,1607.0,1607.0,1607.0,0.0,1,12,12,1607.0,0.00218275961253007,"MG_1616(center=-9.0, nearest=-9.0)"
G3_mba_molar_grade,MBA Positive Molar Grade,1,1062.3117256771093,1055.0,1065.0,10.0,4,3,3;5;6;18,1055.0;1063.0;1064.0;1065.0,0.014681036277275357,"MBA_1078(center=-15.7, nearest=-13.0)"
G3_mba_molar_grade,MBA Positive Molar Grade,2,1386.7995610119292,1383.0,1390.0,7.0,4,4,4;7;13;14,1383.0;1386.0;1387.0;1390.0,0.014010927255160607,"Thiram_1380(center=+6.8, nearest=+3.0); MG_1394(center=-7.2, nearest=-4.0)"
G3_mba_molar_grade,MBA Positive Molar Grade,3,1439.734961550542,1437.0,1442.0,5.0,2,8,8;19,1437.0;1442.0,0.006102702836387104,
