task,task_name,feature_index,wavenumber,mean_abs_shap
G1_thiram_molar_grade,Thiram Positive Molar Grade,741,1141.0,0.004623837417107768
G1_thiram_molar_grade,Thiram Positive Molar Grade,742,1142.0,0.004264695102947669
G1_thiram_molar_grade,Thiram Positive Molar Grade,736,1136.0,0.004123622849848446
G1_thiram_molar_grade,Thiram Positive Molar Grade,735,1135.0,0.0038472080270999733
G1_thiram_molar_grade,Thiram Positive Molar Grade,1108,1508.0,0.0034456906325778373
G1_thiram_molar_grade,Thiram Positive Molar Grade,740,1140.0,0.0033006235602940004
G1_thiram_molar_grade,Thiram Positive Molar Grade,977,1377.0,0.0032372866554706446
G1_thiram_molar_grade,Thiram Positive Molar Grade,1099,1499.0,0.0032358312478663197
G1_thiram_molar_grade,Thiram Positive Molar Grade,1102,1502.0,0.003205144833641133
G1_thiram_molar_grade,Thiram Positive Molar Grade,1107,1507.0,0.003004542776850076
G1_thiram_molar_grade,Thiram Positive Molar Grade,1103,1503.0,0.003002535090455122
G1_thiram_molar_grade,Thiram Positive Molar Grade,1095,1495.0,0.0029782090331856408
G1_thiram_molar_grade,Thiram Positive Molar Grade,66,466.0,0.002951276207609528
G1_thiram_molar_grade,Thiram Positive Molar Grade,64,464.0,0.0029297207244071395
G1_thiram_molar_grade,Thiram Positive Molar Grade,738,1138.0,0.0029154565756251798
G1_thiram_molar_grade,Thiram Positive Molar Grade,318,718.0,0.0028963325250143195
G1_thiram_molar_grade,Thiram Positive Molar Grade,1100,1500.0,0.002803156298635938
G1_thiram_molar_grade,Thiram Positive Molar Grade,745,1145.0,0.0026608149089115784
G1_thiram_molar_grade,Thiram Positive Molar Grade,1098,1498.0,0.002543227555212433
G1_thiram_molar_grade,Thiram Positive Molar Grade,734,1134.0,0.00248227901184141
G1_thiram_molar_grade,Thiram Positive Molar Grade,1115,1515.0,0.0024579881180786397
G1_thiram_molar_grade,Thiram Positive Molar Grade,1110,1510.0,0.0024500981511885174
G1_thiram_molar_grade,Thiram Positive Molar Grade,1097,1497.0,0.0023786853141001384
