task,task_name,rank,feature_index,wavenumber,mean_abs_shap,matched_literature_peak
G1_thiram_molar_grade,Thiram Positive Molar Grade,1,741,1141.0,0.004623837417107768,Thiram_1145(-4.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,2,742,1142.0,0.004264695102947669,Thiram_1145(-3.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,3,736,1136.0,0.004123622849848446,Thiram_1145(-9.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,4,735,1135.0,0.0038472080270999733,Thiram_1145(-10.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,5,1108,1508.0,0.0034456906325778373,Thiram_1510(-2.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,6,740,1140.0,0.0033006235602940004,Thiram_1145(-5.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,7,977,1377.0,0.0032372866554706446,Thiram_1380(-3.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,8,1099,1499.0,0.0032358312478663197,Thiram_1510(-11.0); MBA_1490(+9.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,9,1102,1502.0,0.003205144833641133,Thiram_1510(-8.0); MBA_1490(+12.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,10,1107,1507.0,0.003004542776850076,Thiram_1510(-3.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,11,1103,1503.0,0.003002535090455122,Thiram_1510(-7.0); MBA_1490(+13.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,12,1095,1495.0,0.0029782090331856408,Thiram_1510(-15.0); MBA_1490(+5.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,13,66,466.0,0.002951276207609528,
G1_thiram_molar_grade,Thiram Positive Molar Grade,14,64,464.0,0.0029297207244071395,
G1_thiram_molar_grade,Thiram Positive Molar Grade,15,738,1138.0,0.0029154565756251798,Thiram_1145(-7.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,16,318,718.0,0.0028963325250143195,
G1_thiram_molar_grade,Thiram Positive Molar Grade,17,1100,1500.0,0.002803156298635938,Thiram_1510(-10.0); MBA_1490(+10.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,18,745,1145.0,0.0026608149089115784,Thiram_1145(+0.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,19,1098,1498.0,0.002543227555212433,Thiram_1510(-12.0); MBA_1490(+8.0)
G1_thiram_molar_grade,Thiram Positive Molar Grade,20,734,1134.0,0.00248227901184141,Thiram_1145(-11.0)
G2_mg_molar_grade,MG Positive Molar Grade,1,460,860.0,0.0032243883291439806,
G2_mg_molar_grade,MG Positive Molar Grade,2,808,1208.0,0.002989254332022741,MG_1220(-12.0)
G2_mg_molar_grade,MG Positive Molar Grade,3,814,1214.0,0.002865855263543881,MG_1220(-6.0)
G2_mg_molar_grade,MG Positive Molar Grade,4,466,866.0,0.002623729827229157,
G2_mg_molar_grade,MG Positive Molar Grade,5,761,1161.0,0.00261089311287725,MG_1172(-11.0)
G2_mg_molar_grade,MG Positive Molar Grade,6,809,1209.0,0.002530461250271024,MG_1220(-11.0)
G2_mg_molar_grade,MG Positive Molar Grade,7,759,1159.0,0.002424176595143354,Thiram_1145(+14.0); MG_1172(-13.0)
G2_mg_molar_grade,MG Positive Molar Grade,8,1023,1423.0,0.0022686304949126553,
G2_mg_molar_grade,MG Positive Molar Grade,9,760,1160.0,0.0022535264847807347,Thiram_1145(+15.0); MG_1172(-12.0)
G2_mg_molar_grade,MG Positive Molar Grade,10,811,1211.0,0.0022387867067898363,MG_1220(-9.0)
G2_mg_molar_grade,MG Positive Molar Grade,11,807,1207.0,0.00222035334958573,MG_1220(-13.0)
G2_mg_molar_grade,MG Positive Molar Grade,12,1207,1607.0,0.00218275961253007,MG_1616(-9.0)
G2_mg_molar_grade,MG Positive Molar Grade,13,635,1035.0,0.002088940237184076,
G2_mg_molar_grade,MG Positive Molar Grade,14,465,865.0,0.0020394267132014337,
G2_mg_molar_grade,MG Positive Molar Grade,15,816,1216.0,0.002004086952855538,MG_1220(-4.0)
G2_mg_molar_grade,MG Positive Molar Grade,16,813,1213.0,0.001980119348777752,MG_1220(-7.0)
G2_mg_molar_grade,MG Positive Molar Grade,17,784,1184.0,0.0019733361469018947,MG_1172(+12.0)
G2_mg_molar_grade,MG Positive Molar Grade,18,786,1186.0,0.0019678179736639994,MG_1172(+14.0)
G2_mg_molar_grade,MG Positive Molar Grade,19,780,1180.0,0.001929578510702289,MG_1172(+8.0)
G2_mg_molar_grade,MG Positive Molar Grade,20,787,1187.0,0.0018637482311164362,MG_1172(+15.0)
G3_mba_molar_grade,MBA Positive Molar Grade,1,1171,1571.0,0.00559472015114127,
G3_mba_molar_grade,MBA Positive Molar Grade,2,1177,1577.0,0.004474412097298558,MBA_1590(-13.0)
G3_mba_molar_grade,MBA Positive Molar Grade,3,665,1065.0,0.00429498598161256,MBA_1078(-13.0)
G3_mba_molar_grade,MBA Positive Molar Grade,4,990,1390.0,0.004280768877717922,Thiram_1380(+10.0); MG_1394(-4.0)
G3_mba_molar_grade,MBA Positive Molar Grade,5,664,1064.0,0.0038795802873691533,MBA_1078(-14.0)
G3_mba_molar_grade,MBA Positive Molar Grade,6,663,1063.0,0.003684703439085189,MBA_1078(-15.0)
G3_mba_molar_grade,MBA Positive Molar Grade,7,987,1387.0,0.0034393166055652047,Thiram_1380(+7.0); MG_1394(-7.0)
G3_mba_molar_grade,MBA Positive Molar Grade,8,1042,1442.0,0.0033381315223805887,
G3_mba_molar_grade,MBA Positive Molar Grade,9,1180,1580.0,0.0033055150908192898,MBA_1590(-10.0)
G3_mba_molar_grade,MBA Positive Molar Grade,10,1175,1575.0,0.00325673101930834,MBA_1590(-15.0)
G3_mba_molar_grade,MBA Positive Molar Grade,11,1173,1573.0,0.0032007141889311384,
G3_mba_molar_grade,MBA Positive Molar Grade,12,1174,1574.0,0.0031918235239147665,
G3_mba_molar_grade,MBA Positive Molar Grade,13,986,1386.0,0.003170908124466398,Thiram_1380(+6.0); MG_1394(-8.0)
G3_mba_molar_grade,MBA Positive Molar Grade,14,983,1383.0,0.0031199336474110823,Thiram_1380(+3.0); MG_1394(-11.0)
G3_mba_molar_grade,MBA Positive Molar Grade,15,1170,1570.0,0.0030451683689315537,
