file_path,file_name,folder_name,source_type,matrix_type,sample_role,is_design_sample,is_blank,is_background,c_thiram,c_mg,c_mba,has_thiram,has_mg,has_mba,mixture_order,family,sample_id,group_id,c_thiram_molar,c_mg_molar,c_mba_molar,fold_id
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_1.csv,SP_1.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0001,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_10.csv,SP_10.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0002,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_11.csv,SP_11.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0003,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_12.csv,SP_12.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0004,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_18.csv,SP_18.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0005,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_19.csv,SP_19.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0006,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_2.csv,SP_2.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0007,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_20.csv,SP_20.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0008,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_21.csv,SP_21.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0009,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_22.csv,SP_22.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0010,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_23.csv,SP_23.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0011,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_24.csv,SP_24.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0012,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_25.csv,SP_25.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0013,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_26.csv,SP_26.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0014,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_3.csv,SP_3.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0015,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_4.csv,SP_4.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0016,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_5.csv,SP_5.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0017,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_6.csv,SP_6.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0018,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_7.csv,SP_7.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0019,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_8.csv,SP_8.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0020,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4\SP_9.csv,SP_9.csv,K4,pure,pure,design,True,False,False,0,4,0,False,True,False,1,single,S0021,pure:K4,0.0,0.0001,0.0,0
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_61.csv,SP_61.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0022,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_62.csv,SP_62.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0023,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_63.csv,SP_63.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0024,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_65.csv,SP_65.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0025,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_67.csv,SP_67.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0026,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_68.csv,SP_68.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0027,pure:K4m4,0.0,0.0001,0.0001,2
D:\通过拉曼光谱预测物及其浓度\core subject\总混合光谱\纯净物混合光谱\K4m4\SP_69.csv,SP_69.csv,K4m4,pure,pure,design,True,False,False,0,4,4,False,True,True,2,binary_MG_MBA,S0028,pure:K4m4,0.0,0.0001,0.0001,2
