sample_index,preprocess,wavenumber,value
279,raw,400.0,24917.465065502183
279,raw,401.0,25450.216157205236
279,raw,402.0,25982.967248908288
279,raw,403.0,26586.49781659388
279,raw,404.0,27211.170305676864
279,raw,405.0,27930.689956331888
279,raw,406.0,28752.96069868996
279,raw,407.0,29590.788209606984
279,raw,408.0,30494.936681222694
279,raw,409.0,31399.08515283841
279,raw,410.0,32276.508733624447
279,raw,411.0,33150.96288209608
279,raw,412.0,33804.99126637555
279,raw,413.0,34318.091703056765
279,raw,414.0,34695.070175438595
279,raw,415.0,34782.78947368421
279,raw,416.0,34851.48908296943
279,raw,417.0,34463.716157205236
279,raw,418.0,34075.943231441044
279,raw,419.0,33386.401315789466
279,raw,420.0,32596.26973684209
279,raw,421.0,31864.303493449766
279,raw,422.0,31197.927947598244
279,raw,423.0,30604.25
279,raw,424.0,30341.750000000004
279,raw,425.0,30079.250000000007
279,raw,426.0,30321.223684210523
279,raw,427.0,30619.25
279,raw,428.0,31146.241228070172
279,raw,429.0,31813.565789473672
279,raw,430.0,32443.236842105252
279,raw,431.0,32999.81578947368
279,raw,432.0,33526.75
279,raw,433.0,33589.25
279,raw,434.0,33651.75
279,raw,435.0,33022.171052631595
279,raw,436.0,32197.3903508772
279,raw,437.0,31236.6447368421
279,raw,438.0,30139.934210526295
279,raw,439.0,29046.81277533037
279,raw,440.0,27966.416299559463
279,raw,441.0,26886.019823788556
279,raw,442.0,26023.25
279,raw,443.0,25171.934210526306
279,raw,444.0,24490.91850220264
279,raw,445.0,23893.781938326
279,raw,446.0,23412.240088105733
279,raw,447.0,23104.090308370047
279,raw,448.0,22812.20484581498
279,raw,449.0,22629.165198237886
279,raw,450.0,22446.125550660792
279,raw,451.0,22367.460352422906
279,raw,452.0,22305.786343612337
279,raw,453.0,22263.86563876652
279,raw,454.0,22235.6718061674
279,raw,455.0,22212.97577092511
279,raw,456.0,22201.96255506608
279,raw,457.0,22188.041850220263
279,raw,458.0,22118.878854625553
279,raw,459.0,22049.71585903084
279,raw,460.0,22000.138766519824
279,raw,461.0,21956.085903083702
279,raw,462.0,21890.382743362832
279,raw,463.0,21803.87831858407
279,raw,464.0,21715.81718061674
279,raw,465.0,21623.0859030837
279,raw,466.0,21530.35462555066
279,raw,467.0,21417.491150442474
279,raw,468.0,21304.21681415929
279,raw,469.0,21262.62389380531
279,raw,470.0,21248.90707964602
279,raw,471.0,21194.993392070486
279,raw,472.0,21093.892070484584
279,raw,473.0,21007.46017699115
279,raw,474.0,20983.566371681416
279,raw,475.0,20959.672566371682
279,raw,476.0,20968.90486725664
279,raw,477.0,20980.630530973453
279,raw,478.0,21004.95575221239
279,raw,479.0,21035.48672566372
279,raw,480.0,21037.00888888889
279,raw,481.0,20996.786666666667
279,raw,482.0,20947.035398230088
279,raw,483.0,20847.256637168142
279,raw,484.0,20747.477876106197
279,raw,485.0,20555.309734513277
279,raw,486.0,20352.876106194693
279,raw,487.0,20148.01777777778
279,raw,488.0,19941.79555555556
279,raw,489.0,19769.40707964602
279,raw,490.0,19649.938053097347
279,raw,491.0,19541.522222222222
279,raw,492.0,19507.077777777777
279,raw,493.0,19472.633333333335
279,raw,494.0,19560.80222222222
279,raw,495.0,19665.69111111111
279,raw,496.0,19778.42
279,raw,497.0,19895.753333333334
279,raw,498.0,20095.84222222222
279,raw,499.0,20430.95333333333
279,raw,500.0,20766.67111111111
279,raw,501.0,21106.448888888888
279,raw,502.0,21446.226666666666
279,raw,503.0,21841.346666666665
279,raw,504.0,22244.013333333332
279,raw,505.0,22634.219999999998
279,raw,506.0,23017.108888888888
279,raw,507.0,23344.83482142857
279,raw,508.0,23582.558035714283
279,raw,509.0,23806.568888888887
279,raw,510.0,23946.346666666665
279,raw,511.0,24086.124444444442
279,raw,512.0,24237.781249999996
279,raw,513.0,24390.906249999996
279,raw,514.0,24504.56696428571
279,raw,515.0,24596.977678571428
279,raw,516.0,24678.559999999998
279,raw,517.0,24744.559999999998
279,raw,518.0,24799.785714285714
279,raw,519.0,24798.446428571428
279,raw,520.0,24797.10714285714
279,raw,521.0,24698.83928571429
279,raw,522.0,24592.142857142862
279,raw,523.0,24318.78571428572
279,raw,524.0,23966.99999999999
279,raw,525.0,23554.124999999975
279,raw,526.0,23063.499999999975
279,raw,527.0,22566.02242152464
