sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0001,K4,1,single,41.47882995339379,0.6822290381734587,38.58999,1.1569947,-17.039759,9.724228
S0002,K4,1,single,23.570813711974004,1.4338708460081924,34.757233,-2.1000733,-17.63312,10.441227
S0003,K4,1,single,29.643315090326674,0.7269034645868451,36.4766,-1.4826442,-17.467297,10.15772
S0004,K4,1,single,30.97370738208872,0.6155891124206808,37.03141,-0.9842837,-17.321035,9.97096
S0005,K4,1,single,37.362854441462844,-0.8442214951673789,38.339733,0.9516038,-17.18525,9.834517
S0006,K4,1,single,31.36904236803369,0.46684543990098887,37.006504,-1.0538709,-17.350441,9.978556
S0007,K4,1,single,30.13179360374135,0.4979128620582818,36.715565,-1.4208019,-17.410622,10.072608
S0008,K4,1,single,30.106001072924375,0.6345876780769856,36.620403,-1.4851773,-17.403,10.074446
S0009,K4,1,single,31.134883545768407,0.41828882379628446,36.95303,-1.097871,-17.317661,9.951569
S0010,K4,1,single,29.57057432912974,0.6125300189983641,36.488373,-1.5559272,-17.376308,10.07982
S0011,K4,1,single,25.98003753839641,1.2708017291794507,34.7129,-2.1427093,-17.770031,10.300486
S0012,K4,1,single,34.60168278121736,-0.4179838049913588,38.130558,0.67258555,-17.198828,9.860666
S0013,K4,1,single,30.265540538115676,0.6124853127273643,36.755547,-1.1903015,-17.25933,9.898329
S0014,K4,1,single,29.365983844255034,0.6428967644117736,36.432693,-1.5842891,-17.475348,10.154382
S0015,K4,1,single,30.595336272771632,0.5549721649411505,36.8592,-1.2764293,-17.416277,10.054399
S0016,K4,1,single,26.143728478627523,0.9087437894371234,35.304665,-2.1208873,-17.813574,10.244446
S0017,K4,1,single,25.317317138023782,1.1313624132129223,35.082985,-2.1697447,-17.712408,10.321655
S0018,K4,1,single,24.64218441149508,1.3273903014844555,34.872868,-2.1187732,-17.751719,10.33915
S0019,K4,1,single,23.657949155207376,1.427970407338773,34.779457,-2.0938442,-17.601824,10.453541
S0020,K4,1,single,29.257643371246434,0.8194679527237875,36.364204,-1.5536102,-17.501518,10.200137
S0021,K4,1,single,23.47780101729412,1.3834884583307099,34.745182,-2.0967312,-17.614098,10.470481
S0022,K4m4,2,binary_MG_MBA,27.897149059894844,2.161321968217363,37.7295,2.7210991,-16.941484,9.507076
S0023,K4m4,2,binary_MG_MBA,26.617423168916947,0.22561147986272329,37.535686,2.8483396,-17.164835,9.694127
S0024,K4m4,2,binary_MG_MBA,27.66562423983937,0.8852772539598147,37.452538,3.1473167,-17.032452,9.274939
