variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent,has_thiram,has_mg,has_mba,peak_label
raw,K4,MG_1616,1616,21,64781.377437969095,184.43842253277336,0.2847090164289589,False,True,False,MG 1616
raw,K4m4,MG_1616,1616,14,47625.03250401285,8762.67014279475,18.39929482894613,False,True,True,MG 1616
raw,K4m4,MBA_1080,1080,14,26429.32604832978,5122.90079982303,19.38339551472133,False,True,True,4-MBA 1080
raw,K4m5,MG_1616,1616,12,48661.09199438203,7204.427703817067,14.805314489549112,False,True,True,MG 1616
raw,K4m5,MBA_1080,1080,12,21736.785065298507,3506.2230433278933,16.13036625607239,False,True,True,4-MBA 1080
raw,K4m6,MG_1616,1616,14,22024.265850722317,2536.9460687128403,11.518867806572713,False,True,True,MG 1616
raw,K4m6,MBA_1080,1080,14,10610.492434257289,856.9841129062468,8.076760981793528,False,True,True,4-MBA 1080
raw,K5,MG_1616,1616,27,1739.143074183341,820.7185375158991,47.19097293943389,False,True,False,MG 1616
raw,K5m4,MG_1616,1616,14,1524.249598715891,145.63963544521252,9.554841645876577,False,True,True,MG 1616
raw,K5m4,MBA_1080,1080,14,7870.982942430696,863.9550745969104,10.97645720891508,False,True,True,4-MBA 1080
raw,K5m5,MG_1616,1616,14,1115.7534109149278,98.6234283014929,8.83917784491654,False,True,True,MG 1616
raw,K5m5,MBA_1080,1080,14,1454.3155650319825,157.8784371804321,10.855858314145191,False,True,True,4-MBA 1080
raw,K5m6,MG_1616,1616,16,1104.7176740709938,80.35368946343013,7.27368551707142,False,True,True,MG 1616
raw,K5m6,MBA_1080,1080,16,1169.6283255597014,80.45487735587055,6.878670394492245,False,True,True,4-MBA 1080
raw,K6,MG_1616,1616,14,5169.1676347552375,1743.9371321274805,33.73729109503056,False,True,False,MG 1616
raw,K6m4,MG_1616,1616,15,2234.241198501873,197.9597840175545,8.860269166565034,False,True,True,MG 1616
raw,K6m4,MBA_1080,1080,15,8068.764510779429,664.7068947663138,8.23802570862369,False,True,True,4-MBA 1080
raw,K6m5,MG_1616,1616,15,801.8540058167514,76.37093702086399,9.524294505840148,False,True,True,MG 1616
raw,K6m5,MBA_1080,1080,15,1534.1620232172463,161.88500274849204,10.552014734989184,False,True,True,4-MBA 1080
raw,K6m6,MG_1616,1616,14,930.3238508478528,68.13507616605821,7.323801932409147,False,True,True,MG 1616
raw,K6m6,MBA_1080,1080,14,1151.5657729211089,110.8116162224839,9.62269102019198,False,True,True,4-MBA 1080
raw,m4,MBA_1080,1080,20,11375.025746268646,5060.688906110285,44.48947210313212,False,False,True,4-MBA 1080
