Analyte,Raman shift (cm^-1),Assignment,Literature / evidence support,Manuscript role
Thiram,560,S-S stretching / skeletal mode,Published thiram SERS/Raman assignments,core marker
Thiram,860,(CH3)2-N / CH3 mode,RSC Adv. 2024 thiram band near 881; normal Raman near 850,assigned Thiram band
Thiram,930,C-S symmetric stretching,RSC Adv. 2024; Kang 2017,core marker
Thiram,1145,C-N stretching,Published thiram SERS assignments,core marker
Thiram,1380,CH3 deformation / C-N,Published thiram SERS assignments,overlap-sensitive region
Thiram,1444,C-N stretching + CH3 rocking,Analyst 2014; RSC Adv. 2024 thiram band near 1436,assigned Thiram band
Thiram,1510,C=N / C-N related mode,Kang 2017; Zhu 2019,core marker
MG,908,ring vibration,Published MG SERS assignments,marker
MG,1172,C-H in-plane bending,Published MG SERS assignments,MG-associated overlap-sensitive region
MG,1220,C-H in-plane bending,RSC Adv. 2014; Jiang 2018,marker
MG,1394,aromatic C-C / C-N mode,Published MG SERS assignments,MG-associated overlap-sensitive region
MG,1616,aromatic C=C stretching,Published MG SERS assignments; this work Fig.5,clean MG suppression marker
4-MBA,1078,ring breathing / C-S related mode,Published 4-MBA SERS assignments,core marker
4-MBA,1180,C-H bending,Published 4-MBA SERS assignments,overlap-sensitive region
4-MBA,1490,aromatic C-C stretching,Published 4-MBA SERS assignments,marker
4-MBA,1590,aromatic C=C stretching,Published 4-MBA SERS assignments,core marker
