task,task_name,rank,feature_index,wavenumber,mean_abs_shap,matched_literature_peak
G2_mg_molar_grade,MG Positive Molar Grade,1,460,860.0,0.0032243883291439,
G2_mg_molar_grade,MG Positive Molar Grade,2,808,1208.0,0.0029892543320227,MG_1220(-12.0)
G2_mg_molar_grade,MG Positive Molar Grade,3,814,1214.0,0.0028658552635438,MG_1220(-6.0)
G2_mg_molar_grade,MG Positive Molar Grade,4,466,866.0,0.0026237298272291,
G2_mg_molar_grade,MG Positive Molar Grade,5,761,1161.0,0.0026108931128772,MG_1172(-11.0)
G2_mg_molar_grade,MG Positive Molar Grade,6,809,1209.0,0.002530461250271,MG_1220(-11.0)
G2_mg_molar_grade,MG Positive Molar Grade,7,759,1159.0,0.0024241765951433,Thiram_1145(+14.0); MG_1172(-13.0)
G2_mg_molar_grade,MG Positive Molar Grade,8,1023,1423.0,0.0022686304949126,
G2_mg_molar_grade,MG Positive Molar Grade,9,760,1160.0,0.0022535264847807,Thiram_1145(+15.0); MG_1172(-12.0)
G2_mg_molar_grade,MG Positive Molar Grade,10,811,1211.0,0.0022387867067898,MG_1220(-9.0)
G2_mg_molar_grade,MG Positive Molar Grade,11,807,1207.0,0.0022203533495857,MG_1220(-13.0)
G2_mg_molar_grade,MG Positive Molar Grade,12,1207,1607.0,0.00218275961253,MG_1616(-9.0)
G2_mg_molar_grade,MG Positive Molar Grade,13,635,1035.0,0.002088940237184,
G2_mg_molar_grade,MG Positive Molar Grade,14,465,865.0,0.0020394267132014,
G2_mg_molar_grade,MG Positive Molar Grade,15,816,1216.0,0.0020040869528555,MG_1220(-4.0)
G2_mg_molar_grade,MG Positive Molar Grade,16,813,1213.0,0.0019801193487777,MG_1220(-7.0)
G2_mg_molar_grade,MG Positive Molar Grade,17,784,1184.0,0.0019733361469018,MG_1172(+12.0)
G2_mg_molar_grade,MG Positive Molar Grade,18,786,1186.0,0.0019678179736639,MG_1172(+14.0)
G2_mg_molar_grade,MG Positive Molar Grade,19,780,1180.0,0.0019295785107022,MG_1172(+8.0)
G2_mg_molar_grade,MG Positive Molar Grade,20,787,1187.0,0.0018637482311164,MG_1172(+15.0)
G3_mba_molar_grade,MBA Positive Molar Grade,1,1171,1571.0,0.0055947201511412,
G3_mba_molar_grade,MBA Positive Molar Grade,2,1177,1577.0,0.0044744120972985,MBA_1590(-13.0)
G3_mba_molar_grade,MBA Positive Molar Grade,3,665,1065.0,0.0042949859816125,MBA_1078(-13.0)
